"visual_item","expected","status"
"Hero title + subtitle","TESSERACT v2 Forecast Improvement Platform + read-only subtitle","pending_oscar_review"
"Status pill row","Build stage / Approved with conditions / Read-only / Version","pending_oscar_review"
"Purpose cards (4)","Governed Review, Goal #3 Alignment, Read-only Evidence Layer, Next Review Path","pending_oscar_review"
"Governed snapshot KPIs","Champion / decision / confidence / metric cards","pending_oscar_review"
"Governed snapshot info list","MASE 6.90, RMSSE 1.86, 8 better-0 worse, 13 universe, 78 pairwise","pending_oscar_review"
"Dashboard map (5 groups)","PROJECT / FORECASTING / MODELS / GOVERNANCE / REFERENCE","pending_oscar_review"
"Visual-review callout","Amber 'Visual review' note with required sentence","pending_oscar_review"
"Sidebar unchanged","5 groups / 16 items as in 7.0D","pending_oscar_review"
"Theme toggle works","Light/dark toggle still functions","pending_oscar_review"
"No charts/large tables","Home is executive-only (cards + small info list)","pending_oscar_review"
