query_id,auth_mode,object_name,purpose,query_type,started_at,status,row_count_returned,duration_seconds,notes
P1B001,ActiveDirectoryIntegrated,sys.partitions,Row-count estimates for all SSD-related tables,metadata,2026-08-23T12:22:44,OK,55,4.67,
P1B002,ActiveDirectoryIntegrated,sys.objects,Enumerate all SSD-related tables and views,metadata,2026-08-23T12:22:48,OK,102,0.2,
P1B003,ActiveDirectoryIntegrated,INFORMATION_SCHEMA.COLUMNS,Column signatures for all SSD-related objects,metadata,2026-08-23T12:22:48,OK,853,0.58,
P1B004,ActiveDirectoryIntegrated,sys.sql_modules,Q13 lineage: find any procedure or view that builds the LVWE/LVNE tables,metadata,2026-08-23T12:22:49,OK,0,0.62,
P1B005,ActiveDirectoryIntegrated,forecast_substrateBE_ssd_phx_lvwe_metrics,"LVWE coverage: rows, null actuals, keys, window, version, window size",aggregate,2026-08-23T12:22:50,OK,1,0.5,
P1B006,ActiveDirectoryIntegrated,forecast_substrateBE_ssd_phx_lvwe_metrics,LVWE Q5/Q6: keys with more than 50 non-null Mean_Actual observations,aggregate,2026-08-23T12:22:50,OK,1,0.98,
P1B007,ActiveDirectoryIntegrated,forecast_substrateBE_ssd_phx_lvne_metrics,"LVNE coverage: rows, null actuals, keys, window, version, window size",aggregate,2026-08-23T12:22:51,OK,1,1.69,
P1B008,ActiveDirectoryIntegrated,forecast_substrateBE_ssd_phx_lvne_metrics,LVNE Q5/Q6: keys with more than 50 non-null Mean_Actual observations,aggregate,2026-08-23T12:22:53,OK,1,0.92,
P1B009,ActiveDirectoryIntegrated,forecast_substrateBE_ssd_phx_lvwe_metrics,LVWE Q9: reconcile NAMPRD07 and NAMPRD08 against the AX4 dashboard,sample,2026-08-23T12:22:54,OK,2,0.51,
P1B010,ActiveDirectoryIntegrated,forecast_substrateBE_ssd_phx_lvne_metrics,LVNE Q9: reconcile NAMPRD07 and NAMPRD08 against the AX4 dashboard,sample,2026-08-23T12:22:54,OK,2,0.51,
P1B011,ActiveDirectoryIntegrated,forecast_substrateBE_ssd_phx_lvwe_metrics,Q8: full distinct key list to confirm forest-level identity,vocabulary,2026-08-23T12:22:55,OK,137,1.01,
P1B012,ActiveDirectoryIntegrated,forecast_substrateBE_ssd_phx_lvwe_metrics EXCEPT forecast_substrateBE_ssd_phx_lvne_metrics,Q11: rows where LVWE Mean_Actual differs from LVNE for the same key and window,aggregate,2026-08-23T12:22:56,OK,1,1.65,
P1B013,ActiveDirectoryIntegrated,forecast_substrateBE_ssd_phx_lvwe_metrics EXCEPT forecast_substrateBE_ssd_phx_lvne_metrics,Q11: rows where LVWE Mean_Forecast differs from LVNE for the same key and window,aggregate,2026-08-23T12:22:57,OK,1,1.54,
P1B014,ActiveDirectoryIntegrated,forecast_substrateBE_ssd_phx_lvwe_metrics,"Q13: distinct window end dates versus calendar span, to test daily continuity",aggregate,2026-08-23T12:23:43,OK,1,4.76,
P1B015,ActiveDirectoryIntegrated,forecast_staging_agent_SSD,Q13: staging table coverage as a raw daily candidate,aggregate,2026-08-23T12:23:47,OK,1,1.38,
P1B016,ActiveDirectoryIntegrated,Greenland_SSD_HDD_Forest_Daily_Raw,Q13: raw daily candidate coverage and keys over 50 observations,aggregate,2026-08-23T12:23:49,OK,1,0.91,
P1B017,ActiveDirectoryIntegrated,SubstrateBE_SSD_Demand_History,Q13: raw daily candidate coverage and keys over 50 observations,aggregate,2026-08-23T12:23:50,OK,1,0.93,
P1B018,ActiveDirectoryIntegrated,Greenland_SSD_HDD_Forest_Daily_Raw,Q13: overlap between the raw daily forests and the LVWE key space,aggregate,2026-08-23T12:23:51,OK,1,1.12,
