metric,db_type,variant_contract,granularity,key,source_object,actual_column,actual_parse_expression,min_date,max_date,total_rows,distinct_dates,parseable_actual_observations,non_parseable_actual_observations,passes_50_actuals,ready_for_p3,caveat,notes
SSD,Phoenix,"LVWE+LVNE (one observed series, two forecast variants)",Forest,APCP150,forecast_substrateBE_ssd_phx_lvwe_metrics,Mean_Actual,TRY_CAST(Mean_Actual AS FLOAT),2026-04-13,2026-08-22,131,130,131,0,TRUE,TRUE,"AGGREGATED_WINDOW_ACTUALS: each row is a rolling window of 1-7 days (mean 5.22), not a raw daily point. Mean_Actual is varchar and must be CAST. 15 governed model backtests DO NOT exist yet and must be generated in P5.","Re-measured directly from SQL in P2AQ001, independently of the P2 plan file. 130 distinct End_Date values, zero null Mean_Actual."
SSD,Phoenix,"LVWE+LVNE (one observed series, two forecast variants)",Forest,APCPRD01,forecast_substrateBE_ssd_phx_lvwe_metrics,Mean_Actual,TRY_CAST(Mean_Actual AS FLOAT),2026-04-13,2026-08-22,131,130,131,0,TRUE,TRUE,"AGGREGATED_WINDOW_ACTUALS: each row is a rolling window of 1-7 days (mean 5.22), not a raw daily point. Mean_Actual is varchar and must be CAST. 15 governed model backtests DO NOT exist yet and must be generated in P5.","Re-measured directly from SQL in P2AQ001, independently of the P2 plan file. 130 distinct End_Date values, zero null Mean_Actual."
SSD,Phoenix,"LVWE+LVNE (one observed series, two forecast variants)",Forest,APCPRD02,forecast_substrateBE_ssd_phx_lvwe_metrics,Mean_Actual,TRY_CAST(Mean_Actual AS FLOAT),2026-04-13,2026-08-22,131,130,131,0,TRUE,TRUE,"AGGREGATED_WINDOW_ACTUALS: each row is a rolling window of 1-7 days (mean 5.22), not a raw daily point. Mean_Actual is varchar and must be CAST. 15 governed model backtests DO NOT exist yet and must be generated in P5.","Re-measured directly from SQL in P2AQ001, independently of the P2 plan file. 130 distinct End_Date values, zero null Mean_Actual."
SSD,Phoenix,"LVWE+LVNE (one observed series, two forecast variants)",Forest,AREP273,forecast_substrateBE_ssd_phx_lvwe_metrics,Mean_Actual,TRY_CAST(Mean_Actual AS FLOAT),2026-04-13,2026-08-22,131,130,131,0,TRUE,TRUE,"AGGREGATED_WINDOW_ACTUALS: each row is a rolling window of 1-7 days (mean 5.22), not a raw daily point. Mean_Actual is varchar and must be CAST. 15 governed model backtests DO NOT exist yet and must be generated in P5.","Re-measured directly from SQL in P2AQ001, independently of the P2 plan file. 130 distinct End_Date values, zero null Mean_Actual."
SSD,Phoenix,"LVWE+LVNE (one observed series, two forecast variants)",Forest,AUSP282,forecast_substrateBE_ssd_phx_lvwe_metrics,Mean_Actual,TRY_CAST(Mean_Actual AS FLOAT),2026-04-13,2026-08-22,131,130,131,0,TRUE,TRUE,"AGGREGATED_WINDOW_ACTUALS: each row is a rolling window of 1-7 days (mean 5.22), not a raw daily point. Mean_Actual is varchar and must be CAST. 15 governed model backtests DO NOT exist yet and must be generated in P5.","Re-measured directly from SQL in P2AQ001, independently of the P2 plan file. 130 distinct End_Date values, zero null Mean_Actual."
SSD,Phoenix,"LVWE+LVNE (one observed series, two forecast variants)",Forest,AUSP300,forecast_substrateBE_ssd_phx_lvwe_metrics,Mean_Actual,TRY_CAST(Mean_Actual AS FLOAT),2026-04-13,2026-08-22,131,130,131,0,TRUE,TRUE,"AGGREGATED_WINDOW_ACTUALS: each row is a rolling window of 1-7 days (mean 5.22), not a raw daily point. Mean_Actual is varchar and must be CAST. 15 governed model backtests DO NOT exist yet and must be generated in P5.","Re-measured directly from SQL in P2AQ001, independently of the P2 plan file. 130 distinct End_Date values, zero null Mean_Actual."
SSD,Phoenix,"LVWE+LVNE (one observed series, two forecast variants)",Forest,AUSPRD01,forecast_substrateBE_ssd_phx_lvwe_metrics,Mean_Actual,TRY_CAST(Mean_Actual AS FLOAT),2026-04-13,2026-08-22,131,130,131,0,TRUE,TRUE,"AGGREGATED_WINDOW_ACTUALS: each row is a rolling window of 1-7 days (mean 5.22), not a raw daily point. Mean_Actual is varchar and must be CAST. 15 governed model backtests DO NOT exist yet and must be generated in P5.","Re-measured directly from SQL in P2AQ001, independently of the P2 plan file. 130 distinct End_Date values, zero null Mean_Actual."
SSD,Phoenix,"LVWE+LVNE (one observed series, two forecast variants)",Forest,AUTP296,forecast_substrateBE_ssd_phx_lvwe_metrics,Mean_Actual,TRY_CAST(Mean_Actual AS FLOAT),2026-04-13,2026-08-22,131,130,131,0,TRUE,TRUE,"AGGREGATED_WINDOW_ACTUALS: each row is a rolling window of 1-7 days (mean 5.22), not a raw daily point. Mean_Actual is varchar and must be CAST. 15 governed model backtests DO NOT exist yet and must be generated in P5.","Re-measured directly from SQL in P2AQ001, independently of the P2 plan file. 130 distinct End_Date values, zero null Mean_Actual."
SSD,Phoenix,"LVWE+LVNE (one observed series, two forecast variants)",Forest,BRAP284,forecast_substrateBE_ssd_phx_lvwe_metrics,Mean_Actual,TRY_CAST(Mean_Actual AS FLOAT),2026-04-13,2026-08-22,131,130,131,0,TRUE,TRUE,"AGGREGATED_WINDOW_ACTUALS: each row is a rolling window of 1-7 days (mean 5.22), not a raw daily point. Mean_Actual is varchar and must be CAST. 15 governed model backtests DO NOT exist yet and must be generated in P5.","Re-measured directly from SQL in P2AQ001, independently of the P2 plan file. 130 distinct End_Date values, zero null Mean_Actual."
SSD,Phoenix,"LVWE+LVNE (one observed series, two forecast variants)",Forest,CANP288,forecast_substrateBE_ssd_phx_lvwe_metrics,Mean_Actual,TRY_CAST(Mean_Actual AS FLOAT),2026-04-13,2026-08-22,131,130,131,0,TRUE,TRUE,"AGGREGATED_WINDOW_ACTUALS: each row is a rolling window of 1-7 days (mean 5.22), not a raw daily point. Mean_Actual is varchar and must be CAST. 15 governed model backtests DO NOT exist yet and must be generated in P5.","Re-measured directly from SQL in P2AQ001, independently of the P2 plan file. 130 distinct End_Date values, zero null Mean_Actual."
