field_name,type,role,data_origin,real_aegis_field,description
entity_key,string,key,real_series,Environment+Region,"Our series key e.g. APC-Dedicated; one snapshot row per series x resource."
region,string,key,derived,Region,"Region code parsed from entity_key prefix."
environment,string,key,derived,Environment,"Environment parsed from entity_key suffix."
resource,string,key,real_series,DbType,"Resource/metric. Currently HDD only."
snapshot_date,date,grain,derived,DataDate,"As-of date for the snapshot (= last actual / 'today')."
supply_now,double,measure,SIMULATED,supply,"SIMULATED current supply level."
demand_now,double,measure,real_forecast,demand,"REAL current demand level from our forecast at snapshot_date."
utilization_pct,double,measure,derived,utilization,"demand_now / supply_now * 100."
monthly_growth_rate,double,measure,derived,growth_factor,"Average monthly demand growth rate used to project the crossover."
months_to_live,double,measure,SIMULATED,MonthsToLive,"TTL = months until demand >= supply. Derived from simulated supply + real demand. Blank/Inf if no crossover in horizon."
crossover_date,date,measure,derived,Crossover Date,"Date demand first reaches supply. Blank if never within forecast horizon."
ttl_status,string,measure,derived,(TTL Colors),"Alert / Warning / Healthy / Cool band from months_to_live thresholds."
constraining_resource_name,string,dim,derived,constraining_resource_name,"Resource driving the TTL (= resource; HDD in prototype)."
data_origin,string,governance,label,(n/a),"Provenance label: 'demand=forecast_real;supply+ttl=simulated'."
