"commit_hash","commit_date","file_path","section","change_type","evidence_summary","affects_ui","affects_data_source","affects_artifact_schema","affects_generation","notes"
"0d573f4","2026-07-03","V6/shiny_app","whole tree","BASELINE_IMPORT","Single commit that introduced V6/shiny_app as a controlled clone of V5.","YES","NO","NO","NO","This is the only commit in Git history touching V6/shiny_app."
"UNCOMMITTED","2026-08-18","V6/shiny_app/global.R","source block","MODIFIED","Adds source() for taxonomy_navigation.R, viewer_pilot.R and forecast_pilot.R.","YES","YES","NO","NO","Working-tree change; not committed."
"UNCOMMITTED","2026-08-18","V6/shiny_app/server/server.R","app_server","MODIFIED","Legacy Viewer and Forecast server blocks wrapped in if (FALSE); new pilot servers invoked; outputOptions switched from fvf_* to ffp_*.","YES","YES","NO","NO","Dead legacy blocks retained in place, not deleted."
"UNCOMMITTED","2026-08-18","V6/shiny_app/ui/body.R","tess_guide_overlay","MODIFIED","Viewer/Forecast guide text rewritten to selection wording; tabs_v6_16_viewer.R sourced after tabs.R.","YES","NO","NO","NO","Source order is what makes the new UI win."
"UNCOMMITTED","2026-08-18","V6/shiny_app/R/helpers.R","FVP_FAMILY_LABELS","MODIFIED","Two model family labels capitalised.","YES","NO","NO","NO","Only difference against V5 in this file."
"UNCOMMITTED","2026-08-18","V6/shiny_app/www/custom.css","navigator and chart styles","MODIFIED","Adds selection navigator, dropdown overflow fix, secondary action and forecast transition legend.","YES","NO","NO","NO","Working-tree change; not committed."
"UNTRACKED","2026-08-18","V6/shiny_app/ui/tabs_v6_16_viewer.R","section_explorer and section_forecast","ADDED","Redefines both sections after tabs.R is loaded; section_forecast omits llm_explain_ui.","YES","YES","NO","NO","Source of finding F1."
"UNTRACKED","2026-08-18","V6/shiny_app/R/viewer_pilot.R","viewer provider","ADDED","Reads prepared V6.17 Parquet lazily through Arrow.","YES","YES","NO","NO","Bypasses the CSV artifact registry."
"UNTRACKED","2026-08-18","V6/shiny_app/R/forecast_pilot.R","forecast provider","ADDED","Reads prepared V6.17 forward Parquet lazily through Arrow.","YES","YES","NO","NO","Bypasses the CSV artifact registry."
"UNTRACKED","2026-08-18","V6/shiny_app/R/taxonomy_navigation.R","shared selection module","ADDED","Loads the 901-row navigation contract and resolves selections to legacy source fields.","YES","YES","NO","NO","Reads a CSV contract from V6/outputs."
"UNTRACKED","2026-08-18","V6/shiny_app/R/scenario_resolver.R","scenario resolver","ADDED","Present but never sourced or called by the live app.","NO","NO","NO","NO","Intentionally unwired since R7."
"NOT_AVAILABLE","","V6/shiny_app","V6.16 / V6.17 / V6.18 increments","EVIDENCE_GAP","No per-stage commits exist; all V6.16-V6.18 work is uncommitted working-tree state.","","","","","Git cannot attribute individual presentation changes; file-level comparison was used instead."
