source_object,metric_id,metric_name,db_type,db_type_label,granularity,key_namespace,source_family,source_grain,source_file,source_table,region_parse_rule,unit,unit_status,availability_declared,evidence_level,emit_normalized_rows,merge_sources_allowed,include_in_shiny,include_in_assistant,known_limitation,next_action,notes
forecast_substrateBE_hdd_region_metrics,hdd_edb,HDD-EDB,EDB,EDB,region,region_keys,metrics,key_x_version_x_window,hdd_region_metrics.csv,TesseractEarthDW.dbo.forecast_substrateBE_hdd_region_metrics,prefix_before_dash,UNKNOWN,pending_d5,local_ingested,VERIFIED_LOCAL,yes,no,yes,yes,No target date grain so no curve or horizon analysis,Wire into Shiny Accuracy in V6.0F,Official region accuracy metrics
forecast_substrateBE_hdd_forest_metrics,hdd_edb,HDD-EDB,EDB,EDB,forest,forest_keys,metrics,key_x_version_x_window,hdd_forest_metrics.csv,TesseractEarthDW.dbo.forecast_substrateBE_hdd_forest_metrics,none,UNKNOWN,pending_d5,local_ingested,VERIFIED_LOCAL,yes,no,yes,yes,No target date grain so no curve or horizon analysis,Wire into Shiny Accuracy in V6.0F,Official forest accuracy metrics
forecast_substrateBE_ssd_phx_lvwe_metrics,ssd_phoenix,SSD-Phoenix,lv_with_efficiency,Low-Vol with Efficiency,forest,forest_keys,metrics,key_x_version_x_window,ssd_phx_lvwe_metrics.csv,TesseractEarthDW.dbo.forecast_substrateBE_ssd_phx_lvwe_metrics,none,UNKNOWN,pending_d5,partially_available,VERIFIED_LOCAL,yes,no,yes,yes,Single retained forecast version so no cross plan comparison,Request deeper retention from data engineering,Distinct efficiency treatment and must never pool with LVNE
forecast_substrateBE_ssd_phx_lvne_metrics,ssd_phoenix,SSD-Phoenix,lv_no_efficiency,Low-Vol without Efficiency,forest,forest_keys,metrics,key_x_version_x_window,ssd_phx_lvne_metrics.csv,TesseractEarthDW.dbo.forecast_substrateBE_ssd_phx_lvne_metrics,none,UNKNOWN,pending_d5,partially_available,VERIFIED_LOCAL,yes,no,yes,yes,Single retained forecast version so no cross plan comparison,Request deeper retention from data engineering,Distinct efficiency treatment and must never pool with LVWE
forecast_substrateBE_hdd_region,hdd_edb,HDD-EDB,EDB,EDB,region,region_keys,fact,key_x_targetdate_x_version,hdd_region_forecasts.csv,TesseractEarthDW.dbo.forecast_substrateBE_hdd_region,prefix_before_dash,UNKNOWN,pending_d5,local_ingested,VERIFIED_LOCAL,no,no,no,yes,Local extract holds a single forecast version and actuals do not overlap the forecast window,Re-ingestion is Track B and remains gated,Fact source is not normalized into the official metrics artifact in this stage
forecast_substrateBE_SSD_TotalForecast,ssd_phoenix,SSD-Phoenix,phx_total,Phoenix Total,unknown,unknown,unknown,unknown,,TesseractEarthDW.dbo.forecast_substrateBE_SSD_TotalForecast,none,UNKNOWN,pending_d5_d2,source_not_found,STAKEHOLDER_STATEMENT,no,no,no,yes,Table asserted by stakeholders and never located in evidence,Resolve decision D2 and D10 then confirm the object name,May be shared with SSD-MCDB Total
forecast_substrateBE_SSD_Phoenix_Organic,ssd_phoenix,SSD-Phoenix,phx_organic,Phoenix Organic,unknown,unknown,unknown,unknown,,TesseractEarthDW.dbo.forecast_substrateBE_SSD_Phoenix_Organic,none,UNKNOWN,pending_d5_d2,source_not_found,STAKEHOLDER_STATEMENT,no,no,no,yes,Table asserted by stakeholders and never located in evidence,Resolve decision D2 then confirm the object name,Classification as DB type or derivation flag is unresolved
forecast_substrateBE_SSD_TotalForecast_mcdb,ssd_mcdb,SSD-MCDB,mcdb_total,MCDB Total,unknown,unknown,unknown,unknown,,TesseractEarthDW.dbo.forecast_substrateBE_SSD_TotalForecast,none,UNKNOWN,pending_d5_d10,pending_stakeholder_mapping,STAKEHOLDER_STATEMENT,no,no,no,yes,Claimed to share a physical table with SSD-Phoenix Total without a confirmed discriminator column,Resolve decision D10,Without a discriminator the two metrics cannot be separated
SubstrateBE_Ssd_MCDB_ForecastForestSKU,ssd_mcdb,SSD-MCDB,mcdb_organic,MCDB Organic,forest_sku,forest_sku_keys,unknown,unknown,,TesseractEarthDW.dbo.SubstrateBE_Ssd_MCDB_ForecastForestSKU,none,UNKNOWN,pending_d5,source_not_found,STAKEHOLDER_STATEMENT,no,no,no,yes,SKU grain below forest is not modelled by the current taxonomy,Resolve decision D4,Name implies a grain the contract does not yet describe
forecast_substrateBE_cpu_region,cpu,CPU,PENDING_CONFIRMATION,Pending classification,region,unknown,unknown,unknown,,TesseractEarthDW.dbo.forecast_substrateBE_cpu_region,none,UNKNOWN,pending_d5_d3,source_not_found,STAKEHOLDER_STATEMENT,no,no,no,yes,Exact table name unverified and canonical key undecided,Resolve decisions D3 and D4 then profile,CPU family verified to exist but names unconfirmed
forecast_substrateBE_cpu_byDB_region,cpu,CPU,PENDING_CONFIRMATION,Pending classification,region_by_db,unknown,unknown,unknown,,TesseractEarthDW.dbo.forecast_substrateBE_cpu_byDB_region,none,UNKNOWN,pending_d5_d3,source_not_found,STAKEHOLDER_STATEMENT,no,no,no,yes,Fleet and Workload placement undecided,Resolve decision D3,Extra dimensions absent in HDD
forecast_substrateBE_cpu_byDB_forest,cpu,CPU,PENDING_CONFIRMATION,Pending classification,forest_by_db,unknown,unknown,unknown,,TesseractEarthDW.dbo.forecast_substrateBE_cpu_byDB_forest,none,UNKNOWN,pending_d5_d3,source_not_found,STAKEHOLDER_STATEMENT,no,no,no,yes,Fleet and Workload placement undecided,Resolve decision D3,Extra dimensions absent in HDD
forecast_substrateBE_cpu,cpu,CPU,PENDING_CONFIRMATION,Pending classification,unknown,unknown,unknown,unknown,,TesseractEarthDW.dbo.forecast_substrateBE_cpu,none,UNKNOWN,pending_d5_d3,source_not_found,STAKEHOLDER_STATEMENT,no,no,no,yes,Base CPU forecast table asserted only,Resolve decision D4,Throughput measure never additive with storage
UNNAMED_substrateBE_iops_family,iops,IOPS,PENDING_CONFIRMATION,Pending classification,unknown,unknown,unknown,unknown,,UNKNOWN,none,UNKNOWN,pending_d5,deferred,VERIFIED_IN_DOCUMENT,no,no,no,yes,Family confirmed to exist but no table name is documented,Confirm scope with stakeholders,Explicitly deferred by prior stages
forecast_substrateBE_hdd_region_consumer,hdd_edb,HDD-EDB,EDB,EDB,region,region_keys,fact,key_x_targetdate_x_version,,TesseractEarthDW.dbo.forecast_substrateBE_hdd_region,prefix_before_dash,UNKNOWN,pending_d5,not_ingested,VERIFIED_IN_DOCUMENT,no,no,no,yes,Consumer scenario exists upstream but the extract hardcodes Enterprise,Decide whether to ingest Consumer,Scenario value Consumer with 47 versions in source
forecast_substrateBE_hdd_region_basilisk,hdd_basilisk,HDD-Basilisk,EDB,EDB,region,region_keys,fact,key_x_targetdate_x_version,,TesseractEarthDW.dbo.forecast_substrateBE_hdd_region,prefix_before_dash,UNKNOWN,pending_d5,deferred,VERIFIED_IN_DOCUMENT,no,no,no,yes,Scenario is being phased out upstream,None,Out of scope by decision
