column,type,required,nullable,allowed_values,derivation_rule,source_priority,validation_rule,used_by_shiny,used_by_ranking,used_by_governance,status
metric_id,string,yes,no,"hdd_edb|ssd_phoenix|ssd_mcdb|cpu|iops|hdd_basilisk",Resolved from the registry entry that owns source_object. Never parsed from a filename.,registry,Must exist in metric_registry_resolved.csv. Never null. Never blank.,yes,yes,yes,DEFINED
metric_name,string,yes,no,"HDD-EDB|SSD-Phoenix|SSD-MCDB|CPU|IOPS|HDD-Basilisk",Registry display lookup keyed by metric_id.,registry,One to one with metric_id.,yes,no,no,DEFINED
db_type,string,yes,no,"Per metric enum. hdd_edb:EDB. ssd_phoenix:lv_with_efficiency|lv_no_efficiency|phx_total|phx_organic. ssd_mcdb:mcdb_total|mcdb_organic. cpu:PENDING_CONFIRMATION",Registry mapping from source_object to a db_type declared under that metric_id.,registry,Must belong to the declared metric_id. Never null. PENDING_CONFIRMATION allowed only when the registry marks the mapping unresolved.,yes,yes,yes,DEFINED_PROVISIONAL_D2_D3
db_type_label,string,yes,no,Free text display label,Registry display lookup keyed by metric_id plus db_type.,registry,One to one with db_type inside a metric_id.,yes,no,no,DEFINED
scenario,string,yes,no,"Enterprise|Consumer|Basilisk|not_applicable|pending_mapping|unknown",If the source exposes a Scenario column use the verbatim source value. Otherwise set not_applicable. Never inherit and never default.,source then registry,Never blank. Never null. A value of Enterprise is only legal when the source physically has a Scenario column.,conditional,yes,yes,DEFINED
scenario_status,enum,yes,no,"present|not_applicable|pending_mapping|unknown",present when the source column exists. not_applicable when the source has no Scenario column. pending_mapping when a stakeholder decision is required. unknown otherwise.,derived,Must be consistent with scenario. scenario=not_applicable requires scenario_status=not_applicable.,yes,no,yes,DEFINED
granularity,enum,yes,no,"region|forest|forest_sku|region_by_db|forest_by_db|unknown",Registry declaration per source_object validated against the observed key namespace.,registry then observation,Must match key_namespace. Never inferred silently from the key string alone.,yes,yes,yes,DEFINED
entity_key,string,yes,no,Source Key verbatim,Copied verbatim from the source Key column. Never trimmed reformatted or upper cased.,source,Never blank. Must belong to the declared key_namespace.,yes,yes,yes,DEFINED
region,string,no,yes,Region token,Populated only when granularity=region and the registry declares a documented parse rule. Null for every other granularity.,derived,Must be null when granularity is not region. A null value is never an error.,yes,no,no,DEFINED
forest,string,no,yes,Forest key,Equal to entity_key when granularity is forest or forest_sku. Null otherwise.,derived,Must be null when granularity is region.,yes,no,no,DEFINED
key_namespace,enum,yes,no,"region_keys|forest_keys|forest_sku_keys|unknown",Declared by the registry for each source_object.,registry,Two rows with different key_namespace must never be aggregated together.,no,yes,yes,DEFINED
forecast_version,string,yes,no,Source value verbatim,Copied verbatim from Forecast_Version or ForecastVersion.,source,Never blank. Never normalised in place because the raw string is the join key against legacy artifacts.,yes,yes,yes,DEFINED
forecast_version_date,date,no,yes,ISO date,Parsed from forecast_version when it is unambiguously parseable. Null when it is not.,derived,Parsing failure sets null and never raises. Must never overwrite forecast_version.,yes,no,no,DEFINED
source_object,string,yes,no,Fully qualified SQL object name,Registry declaration for the physical source.,registry,Never blank. Used as the ranking contamination guard.,no,guard,yes,DEFINED
source_file,string,yes,no,Local file name,Name of the local extract that produced the row.,observation,Never blank. Must exist in metric_source_lineage.csv.,no,guard,yes,DEFINED
