metric_id,metric_name,db_type,scenario,granularity,source_object,source_file,source_table,local_available,local_rows,local_versions,local_keys,namprd07_present,availability_status,evidence_level,limitation,next_action
hdd_edb,HDD-EDB,EDB,not_applicable,region,forecast_substrateBE_hdd_region_metrics,hdd_region_metrics.csv,TesseractEarthDW.dbo.forecast_substrateBE_hdd_region_metrics,yes,2550,3,45,no,local_ingested,VERIFIED_LOCAL,No target date grain so no curve or horizon analysis,Wire into Shiny Accuracy in V6.0F
hdd_edb,HDD-EDB,EDB,not_applicable,forest,forecast_substrateBE_hdd_forest_metrics,hdd_forest_metrics.csv,TesseractEarthDW.dbo.forecast_substrateBE_hdd_forest_metrics,yes,8828,3,155,yes,local_ingested,VERIFIED_LOCAL,No target date grain so no curve or horizon analysis,Wire into Shiny Accuracy in V6.0F
ssd_phoenix,SSD-Phoenix,lv_with_efficiency,not_applicable,forest,forecast_substrateBE_ssd_phx_lvwe_metrics,ssd_phx_lvwe_metrics.csv,TesseractEarthDW.dbo.forecast_substrateBE_ssd_phx_lvwe_metrics,yes,7776,1,137,yes,partially_available,VERIFIED_LOCAL,Single retained forecast version so no cross plan comparison,Request deeper retention from data engineering
ssd_phoenix,SSD-Phoenix,lv_no_efficiency,not_applicable,forest,forecast_substrateBE_ssd_phx_lvne_metrics,ssd_phx_lvne_metrics.csv,TesseractEarthDW.dbo.forecast_substrateBE_ssd_phx_lvne_metrics,yes,7913,1,137,yes,partially_available,VERIFIED_LOCAL,Single retained forecast version so no cross plan comparison,Request deeper retention from data engineering
hdd_edb,HDD-EDB,EDB,Enterprise,region,forecast_substrateBE_hdd_region,hdd_region_forecasts.csv,TesseractEarthDW.dbo.forecast_substrateBE_hdd_region,yes,65095,1,45,no,local_ingested,VERIFIED_LOCAL,Local extract holds a single forecast version and actuals do not overlap the forecast window,Re-ingestion is Track B and remains gated
ssd_phoenix,SSD-Phoenix,phx_total,unknown,unknown,forecast_substrateBE_SSD_TotalForecast,,TesseractEarthDW.dbo.forecast_substrateBE_SSD_TotalForecast,no,0,0,0,no,source_not_found,STAKEHOLDER_STATEMENT,Table asserted by stakeholders and never located in evidence,Resolve decision D2 and D10 then confirm the object name
ssd_phoenix,SSD-Phoenix,phx_organic,unknown,unknown,forecast_substrateBE_SSD_Phoenix_Organic,,TesseractEarthDW.dbo.forecast_substrateBE_SSD_Phoenix_Organic,no,0,0,0,no,source_not_found,STAKEHOLDER_STATEMENT,Table asserted by stakeholders and never located in evidence,Resolve decision D2 then confirm the object name
ssd_mcdb,SSD-MCDB,mcdb_total,pending_mapping,unknown,forecast_substrateBE_SSD_TotalForecast_mcdb,,TesseractEarthDW.dbo.forecast_substrateBE_SSD_TotalForecast,no,0,0,0,no,pending_stakeholder_mapping,STAKEHOLDER_STATEMENT,Claimed to share a physical table with SSD-Phoenix Total without a confirmed discriminator column,Resolve decision D10
ssd_mcdb,SSD-MCDB,mcdb_organic,unknown,forest_sku,SubstrateBE_Ssd_MCDB_ForecastForestSKU,,TesseractEarthDW.dbo.SubstrateBE_Ssd_MCDB_ForecastForestSKU,no,0,0,0,no,source_not_found,STAKEHOLDER_STATEMENT,SKU grain below forest is not modelled by the current taxonomy,Resolve decision D4
cpu,CPU,PENDING_CONFIRMATION,unknown,region,forecast_substrateBE_cpu_region,,TesseractEarthDW.dbo.forecast_substrateBE_cpu_region,no,0,0,0,no,source_not_found,STAKEHOLDER_STATEMENT,Exact table name unverified and canonical key undecided,Resolve decisions D3 and D4 then profile
cpu,CPU,PENDING_CONFIRMATION,unknown,region_by_db,forecast_substrateBE_cpu_byDB_region,,TesseractEarthDW.dbo.forecast_substrateBE_cpu_byDB_region,no,0,0,0,no,source_not_found,STAKEHOLDER_STATEMENT,Fleet and Workload placement undecided,Resolve decision D3
cpu,CPU,PENDING_CONFIRMATION,unknown,forest_by_db,forecast_substrateBE_cpu_byDB_forest,,TesseractEarthDW.dbo.forecast_substrateBE_cpu_byDB_forest,no,0,0,0,no,source_not_found,STAKEHOLDER_STATEMENT,Fleet and Workload placement undecided,Resolve decision D3
cpu,CPU,PENDING_CONFIRMATION,unknown,unknown,forecast_substrateBE_cpu,,TesseractEarthDW.dbo.forecast_substrateBE_cpu,no,0,0,0,no,source_not_found,STAKEHOLDER_STATEMENT,Base CPU forecast table asserted only,Resolve decision D4
iops,IOPS,PENDING_CONFIRMATION,unknown,unknown,UNNAMED_substrateBE_iops_family,,UNKNOWN,no,0,0,0,no,deferred,VERIFIED_IN_DOCUMENT,Family confirmed to exist but no table name is documented,Confirm scope with stakeholders
hdd_edb,HDD-EDB,EDB,not_applicable,region,forecast_substrateBE_hdd_region_consumer,,TesseractEarthDW.dbo.forecast_substrateBE_hdd_region,no,0,0,0,no,not_ingested,VERIFIED_IN_DOCUMENT,Consumer scenario exists upstream but the extract hardcodes Enterprise,Decide whether to ingest Consumer
hdd_basilisk,HDD-Basilisk,EDB,unknown,region,forecast_substrateBE_hdd_region_basilisk,,TesseractEarthDW.dbo.forecast_substrateBE_hdd_region,no,0,0,0,no,deferred,VERIFIED_IN_DOCUMENT,Scenario is being phased out upstream,None
