rule_id,rule,applies_to,specification,rationale
R01,Metric sequence resolved ONCE PER SERIES,all series,The primary ranking metric is chosen at series level from metrics computable for ALL 15 models; it is never chosen per model,"THE DEFECT FIX. P6 resolved the fallback per model, so a model could win merely because its metric happened to be computable while better models fell through"
R02,A metric must be computable for all 15 models to be used,all series,"If any of the 15 models has a non-computable value, the metric is skipped entirely for that series",Comparing a computed value against a missing one is not a comparison
R03,A constant metric cannot be the primary metric,all series,A metric with a single distinct value across the 15 models is skipped as primary; the first discriminating metric is recorded instead,A metric that is identical for every model carries no ranking information; labelling it primary would misrepresent how the champion was chosen
R04,Case 1 metric order,SIGNAL_PRESENT and TRAILING_ZERO_LATEST_ACTUAL,"wape, smape, rmse, mae, median_absolute_error, negative_prediction_count, extreme_ratio_count",WAPE is scale-free and robust when actuals are nonzero
R05,Case 2 metric order,NO_SIGNAL_ALL_ZERO_ACTUALS,"mae, rmse, median_absolute_error, smape, negative_prediction_count, extreme_ratio_count",WAPE and MAPE are structurally undefined when every actual is zero; MAE is the only meaningful error measure
R06,"Deterministic tie-break, applied last",all series,ETS Explicit > ARIMA_Fixed > AutoARIMA > ETS_Current > Theta > LinearRegression > LightGBM > XGBoost > FixedGrowth_3 > FixedGrowth_4 > FixedGrowth_6 > FixedGrowth_1_5 > NLIN-DLIN_FIXED > SMLP-TCN > FNAR-V2,Applied ONLY after every numeric metric ties. ETS Explicit is the governance reference baseline; FNAR-V2 is last so it cannot win on availability
R07,Tie-break never overrides measured accuracy,all series,"The tie-break index is the final sort key, after all metric keys",Ordering preference must never beat a genuinely lower error
R08,Champion validity is explicit,all series,NO_SIGNAL_ALL_ZERO_ACTUALS -> NOT_MEANINGFUL_NO_SIGNAL; otherwise -> MEANINGFUL_ACCURACY_RANKING,"A no-signal series still needs one technical champion for schema consistency, but the Viewer must not present it as a recommendation"
R09,Accuracy is never recalculated,all series,P6C reads accuracy_metrics and reorders only,Keeps the correction auditable and bounded to the ranking layer
R10,Policy version stamped on every row,all rows,ranking_policy_version = P6C_RANKING_POLICY_V2,Lets P7 and the Viewer assert which policy produced a ranking
