check_id,area,check_name,status,evidence,blocking_for_5_30,created_timestamp
A1,Model Set Re-scope,Exactly 6 final official challenger models,PASS,current_official_challenger_set.csv + forecasts show AutoARIMA/Theta/ETS Explicit/LightGBM/XGBoost/FastNeuralAR_MLP,No,2026-06-13T18:00:00
A2,Model Set Re-scope,NBEATS = deferred_runtime_impractical,PASS,model_set_rescope_decision.csv / current_official_challenger_set.csv,No,2026-06-13T18:00:00
A3,Model Set Re-scope,NHITS = deferred_dependency_blocked,PASS,model_set_rescope_decision.csv / current_official_challenger_set.csv,No,2026-06-13T18:00:00
A4,Model Set Re-scope,FastNeuralAR_MLP documented as lightweight neural replacement,PASS,fast_neural_policy.md,No,2026-06-13T18:00:00
A5,Model Set Re-scope,No silent deletion/rewriting of NBEATS/NHITS history,PASS,Deferred rows + reasons preserved across all rescope addenda,No,2026-06-13T18:00:00
A6,Model Set Re-scope,Re-scope justified for MVP/container/Azure profile,PASS,fast_neural_policy.md + model_set_rescope_report.md rationale,No,2026-06-13T18:00:00
B1,Forecast Integrity,challenger_official_forecasts.csv exists,PASS,File present and read,No,2026-06-13T18:00:00
B2,Forecast Integrity,Total forecast rows = 81720,PASS,Independent count = 81720,No,2026-06-13T18:00:00
B3,Forecast Integrity,Each final model has 13620 rows,PASS,Independent value_counts = 13620 per model,No,2026-06-13T18:00:00
B4,Forecast Integrity,Only the 6 final models present,PASS,Independent unique model list,No,2026-06-13T18:00:00
B5,Forecast Integrity,No NBEATS rows,PASS,Independent NBEATS count = 0,No,2026-06-13T18:00:00
B6,Forecast Integrity,No NHITS rows,PASS,Independent NHITS count = 0,No,2026-06-13T18:00:00
B7,Forecast Integrity,execution_mode = official,PASS,Independent unique = ['official'],No,2026-06-13T18:00:00
B8,Forecast Integrity,horizon_day values are 1..30,PASS,min=1 max=30 distinct=30,No,2026-06-13T18:00:00
B9,Forecast Integrity,forecast_value finite and non-null,PASS,nulls=0 inf=0,No,2026-06-13T18:00:00
B10,Forecast Integrity,No duplicate run/model/entity/window/horizon rows,PASS,duplicate count = 0,No,2026-06-13T18:00:00
B11,Forecast Integrity,forecast_date aligns with official test windows (post train_end),PASS,0 rows with forecast_date<=train_end_date,No,2026-06-13T18:00:00
B12,Forecast Integrity,Raw forecasts preserved,PASS,306 raw negatives retained in forecast_value,No,2026-06-13T18:00:00
C1,Metrics Integrity,Actual join = 81720 rows,PASS,Independent count = 81720,No,2026-06-13T18:00:00
C2,Metrics Integrity,Missing actuals = 0,PASS,actual_value nulls = 0,No,2026-06-13T18:00:00
C3,Metrics Integrity,Metric table = 2724 rows,PASS,Independent count = 2724,No,2026-06-13T18:00:00
C4,Metrics Integrity,Each final model has 454 metric rows,PASS,Independent value_counts = 454 per model,No,2026-06-13T18:00:00
C5,Metrics Integrity,All metrics present (MASE/RMSSE/wMAPE/MAPE/SMAPE/RMSE/Bias),PASS,All columns present in challenger_metrics_entity_window.csv,No,2026-06-13T18:00:00
C6,Metrics Integrity,No NaN/Inf in MASE/RMSSE,PASS,mase/rmsse nan=0 inf=0,No,2026-06-13T18:00:00
C7,Metrics Integrity,No NBEATS/NHITS in metrics,PASS,Independent model list = 6 final models,No,2026-06-13T18:00:00
C8,Metrics Integrity,Metrics based on adjusted_forecast_value,PASS,Independent MASE/RMSSE spot-checks on adjusted values matched stored exactly,No,2026-06-13T18:00:00
D1,Denominator Policy,MASE denominator source = training_only_lag1_naive_mae,PASS,scoring_definitions.yaml + metrics_summary mase_denominator_source,No,2026-06-13T18:00:00
D2,Denominator Policy,RMSSE denominator source = training_only_lag1_naive_mse,PASS,scoring_definitions.yaml + metrics_summary rmsse_denominator_source,No,2026-06-13T18:00:00
D3,Denominator Policy,Denominators loaded from training_only_denominators.csv,PASS,metrics_validation denominator_source_training_only pass,No,2026-06-13T18:00:00
D4,Denominator Policy,Denominators are training-only (no test actuals),PASS,denominator_observations = training_observations - 1 (lag1) on training slice,No,2026-06-13T18:00:00
D5,Denominator Policy,5.19 naive forecast not used as denominator,PASS,block_519_naive_forecasts_allowed_as_denominator=false,No,2026-06-13T18:00:00
D6,Denominator Policy,Seasonal naive not used as denominator,PASS,seasonal_naive_allowed_as_denominator=false,No,2026-06-13T18:00:00
D7,Denominator Policy,Corrected 5.27A/5.27B denominator policy respected,PASS,Config + reconciliation outputs consistent with training-only lag1,No,2026-06-13T18:00:00
