section_id,dashboard_section,section_purpose,required_elements,primary_source_artifact,secondary_source_artifacts,required_for_mvp,governance_notes,created_timestamp
DS-001,Executive Summary,Top-line governed status.,"champion decision, confidence, audit status, key results",outputs/model_lab/model_lab_closure_pack/model_lab_key_results.csv,outputs/model_lab/model_lab_closure_pack/model_lab_executive_summary.md,True,Must use conditional champion language.,2026-06-14T10:49:31
DS-002,Champion Decision,Display official champion decision.,"decision type, ETS Explicit, origin, family, confidence",outputs/model_lab/champion_decision/champion_decision.csv,outputs/model_lab/model_lab_closure_pack/model_lab_champion_summary.csv,True,Decision source is champion_decision.csv.,2026-06-14T10:49:31
DS-003,Champion Conditions,Display active champion conditions.,C-001 through C-005,outputs/governance/6_3_champion_conditions/champion_conditions_protocol.csv,outputs/governance/6_3_champion_conditions/champion_dashboard_language.csv,True,All conditions must remain visible.,2026-06-14T10:49:31
DS-004,Model Universe,Show final model universe.,"baseline, challenger, deferred status, risk flags",outputs/model_lab/model_lab_closure_pack/model_lab_final_model_universe.csv,outputs/governance/6_2_decision_rules/governance_recommendations.csv,True,No silent filtering of deferred/risk models.,2026-06-14T10:49:31
DS-005,Tournament Standings,Show standings as evidence only.,preliminary positions and tournament metrics,outputs/model_lab/tournament_engine/tournament_preliminary_standings.csv,outputs/governance/6_3_champion_conditions/champion_dashboard_language.csv,True,Must not imply winner.,2026-06-14T10:49:31
DS-006,Baseline vs Challenger Scorecard,Compare model scorecards.,"MASE, RMSSE, origin, family, risk status",outputs/model_lab/tournament_engine/tournament_model_scorecard.csv,outputs/model_lab/champion_decision/champion_decision_scorecard.csv,True,Display sourced metrics only.,2026-06-14T10:49:31
DS-007,Pairwise Evidence,Show pairwise support context.,pairwise evidence and support counts,outputs/model_lab/tournament_engine/tournament_pairwise_evidence.csv,outputs/model_lab/tournament_engine/tournament_model_evidence_summary.csv,True,Evidence is not champion decision by itself.,2026-06-14T10:49:31
DS-008,Risk Register,Surface risks and carry-forwards.,"risk_id, model, action, dashboard carry-forward",outputs/model_lab/model_lab_closure_pack/model_lab_risk_register_final.csv,outputs/governance/6_2_decision_rules/risk_to_action_mapping.csv,True,FastNeuralAR_MLP risk must be visible.,2026-06-14T10:49:31
DS-009,Deferred Models,Show deferred future work.,"NBEATS, NHITS, reasons, future options",outputs/model_lab/model_lab_closure_pack/model_lab_deferred_models.csv,outputs/model_lab/model_lab_closure_pack/model_lab_final_model_universe.csv,True,Do not call permanently rejected.,2026-06-14T10:49:31
DS-010,Audit Status,Show audit readiness and conditions.,Audit #4/#5 status and conditions,outputs/model_lab/audit_5/audit_5_summary.csv,outputs/model_lab/audit_4/audit_4_summary.csv; outputs/governance/6_0_audit5_finding_resolution/audit5_finding_resolution.csv,True,Audit #5 approve-with-conditions must be visible.,2026-06-14T10:49:31
DS-011,Governance Actions,Show 6.2 actions.,"model actions, risk actions, traceability",outputs/governance/6_2_decision_rules/governance_recommendations.csv,outputs/governance/6_2_decision_rules/decision_action_framework.csv,True,Actions guide dashboard language.,2026-06-14T10:49:31
DS-012,Methodology / Metric Policy,Explain metric and governance policy.,"no recompute, source artifacts, tournament vs champion",outputs/governance/6_1_governance_foundation/governance_foundation_report.md,outputs/governance/6_3_champion_conditions/champion_conditions_report.md,True,Read-only non-computational policy.,2026-06-14T10:49:31
DS-013,Dashboard Handoff / Source Artifacts,List dashboard source artifacts.,"bindings, source paths, refresh behavior",outputs/model_lab/model_lab_closure_pack/model_lab_dashboard_handoff_manifest.csv,outputs/governance/6_3_champion_conditions/champion_dashboard_display_requirements.csv,True,Supports traceability and audit.,2026-06-14T10:49:31
