"file_path","status","v5_path","v6_path","size_v5","size_v6","hash_v5","hash_v6","notes"
"shiny_app (whole tree)","SUMMARY","V5/shiny_app","V6/shiny_app",48,53,"","","43 identical, 5 different, 0 only in V5, 5 only in V6."
"global.R","DIFFERENT","V5/shiny_app/global.R","V6/shiny_app/global.R",1067,1514,"SHA256_DIFFERS","SHA256_DIFFERS","V6 additionally sources taxonomy_navigation.R, viewer_pilot.R and forecast_pilot.R."
"R/helpers.R","DIFFERENT","V5/shiny_app/R/helpers.R","V6/shiny_app/R/helpers.R",145322,145322,"SHA256_DIFFERS","SHA256_DIFFERS","Only two changed lines: model family labels capitalised to Growth Baseline and Machine Learning."
"server/server.R","DIFFERENT","V5/shiny_app/server/server.R","V6/shiny_app/server/server.R",25242,25634,"SHA256_DIFFERS","SHA256_DIFFERS","V6 calls viewer_pilot_server and forecast_pilot_server; legacy Viewer/Forecast blocks disabled with if (FALSE); outputOptions switched from fvf_* to ffp_*."
"ui/body.R","DIFFERENT","V5/shiny_app/ui/body.R","V6/shiny_app/ui/body.R",10949,10989,"SHA256_DIFFERS","SHA256_DIFFERS","V6 sources ui/tabs_v6_16_viewer.R and rewrites Viewer/Forecast guide copy."
"www/custom.css","DIFFERENT","V5/shiny_app/www/custom.css","V6/shiny_app/www/custom.css",78114,85400,"SHA256_DIFFERS","SHA256_DIFFERS","V6 adds navigator, dropdown overflow fix, secondary action and forecast legend styles."
"ui/tabs.R","IDENTICAL","V5/shiny_app/ui/tabs.R","V6/shiny_app/ui/tabs.R",0,0,"EQUAL","EQUAL","Byte-identical. This file is the true V5 presentation baseline and is now partially shadowed."
"R/data_loader.R","IDENTICAL","V5/shiny_app/R/data_loader.R","V6/shiny_app/R/data_loader.R",0,0,"EQUAL","EQUAL","Artifact registry unchanged since V5."
"R/artifact_export.R","IDENTICAL","V5/shiny_app/R/artifact_export.R","V6/shiny_app/R/artifact_export.R",0,0,"EQUAL","EQUAL","Download engine unchanged since V5."
"R/ttl_provider.R","IDENTICAL","V5/shiny_app/R/ttl_provider.R","V6/shiny_app/R/ttl_provider.R",0,0,"EQUAL","EQUAL","TTL provider unchanged since V5."
"R/llm_explain.R","IDENTICAL","V5/shiny_app/R/llm_explain.R","V6/shiny_app/R/llm_explain.R",0,0,"EQUAL","EQUAL","LLM panel engine unchanged since V5."
"R/forecast_pilot.R","ONLY_V6","","V6/shiny_app/R/forecast_pilot.R",0,19842,"","PRESENT","New V6 forward Forecast provider reading prepared Parquet."
"R/viewer_pilot.R","ONLY_V6","","V6/shiny_app/R/viewer_pilot.R",0,16213,"","PRESENT","New V6 Viewer provider reading prepared Parquet."
"R/taxonomy_navigation.R","ONLY_V6","","V6/shiny_app/R/taxonomy_navigation.R",0,18066,"","PRESENT","New V6.18 shared conditional selection module."
"R/scenario_resolver.R","ONLY_V6","","V6/shiny_app/R/scenario_resolver.R",0,11941,"","PRESENT","Created in R7 and intentionally not wired into the UI."
"ui/tabs_v6_16_viewer.R","ONLY_V6","","V6/shiny_app/ui/tabs_v6_16_viewer.R",0,10390,"","PRESENT","Live Viewer/Forecast UI; sourced after tabs.R and overrides section_explorer and section_forecast."
