trace_review_id,trace_subject,expected_source,observed_source,trace_status,notes,created_timestamp
TR6-01,ETS Explicit champion,outputs/model_lab/champion_decision/champion_decision.csv,outputs/governance/6_2_decision_rules/governance_recommendations.csv,traced,selected_champion=True / KEEP_WITH_CONDITIONS consistent with champion decision,2026-06-14T11:10:00
TR6-02,Medium confidence,outputs/model_lab/champion_decision/champion_decision.csv,outputs/governance/6_3_champion_conditions/champion_conditions_protocol.csv,traced,decision_confidence=medium preserved in C-001 and DC-006,2026-06-14T11:10:00
TR6-03,MASE/RMSSE values,outputs/model_lab/model_lab_closure_pack/model_lab_champion_summary.csv,outputs/governance/6_4_dashboard_contract/dashboard_data_binding_contract.csv,traced,Metrics bound display-only; no recompute (DC-002),2026-06-14T11:10:00
TR6-04,Pairwise support,outputs/model_lab/tournament_engine/tournament_pairwise_evidence.csv,outputs/governance/6_4_dashboard_contract/dashboard_data_binding_contract.csv,traced,Binding columns model_a/model_b/median_delta_mase/bh_adjusted_p_value/comparison_status verified present,2026-06-14T11:10:00
TR6-05,FastNeuralAR_MLP risk,outputs/model_lab/model_lab_closure_pack/model_lab_risk_register_final.csv,outputs/governance/6_2_decision_rules/risk_to_action_mapping.csv,traced,R-001 REVIEW_INVESTIGATE + EXCLUDE_FROM_CHAMPION_CONSIDERATION,2026-06-14T11:10:00
TR6-06,NBEATS deferral,outputs/model_lab/model_lab_closure_pack/model_lab_deferred_models.csv,outputs/governance/6_2_decision_rules/risk_to_action_mapping.csv,traced,R-002 TEST_LATER + DEFER; surfaced via DC-009,2026-06-14T11:10:00
TR6-07,NHITS deferral,outputs/model_lab/model_lab_closure_pack/model_lab_deferred_models.csv,outputs/governance/6_2_decision_rules/risk_to_action_mapping.csv,traced,R-003 TEST_LATER + DEFER; surfaced via DC-009,2026-06-14T11:10:00
TR6-08,FixedGrowth_6 review,outputs/model_lab/model_lab_closure_pack/model_lab_risk_register_final.csv,outputs/governance/6_2_decision_rules/risk_to_action_mapping.csv,traced,R-007 REVIEW + MONITOR,2026-06-14T11:10:00
TR6-09,Audit #5 verdict,outputs/model_lab/audit_5/audit_5_summary.csv,outputs/governance/6_5_governance_closure_pack/governance_register.csv,traced,GR-008 surfaces Audit #5 approve-with-conditions; DC-010 requires display,2026-06-14T11:10:00
TR6-10,F-010 governed correction,outputs/model_lab/audit_5/audit_5_findings.csv,outputs/governance/6_0_audit5_finding_resolution/governed_manifest_correction.csv,traced,authoritative_governed_value=True; applied_to_original_file=False (additive),2026-06-14T11:10:00
TR6-11,Dashboard read-only contract,outputs/model_lab/model_lab_closure_pack/model_lab_dashboard_handoff_manifest.csv,outputs/governance/6_4_dashboard_contract/dashboard_governance_contract.csv,traced,DC-001/DC-003 read_only_behavior blocking,2026-06-14T11:10:00
TR6-12,No-recompute contract,outputs/model_lab/model_lab_closure_pack/model_lab_champion_summary.csv,outputs/governance/6_4_dashboard_contract/dashboard_governance_contract.csv,traced,DC-002 no_metric_recalculation blocking,2026-06-14T11:10:00
TR6-13,No-unconditional-winner rule,outputs/model_lab/champion_decision/champion_decision.csv,outputs/governance/6_3_champion_conditions/champion_dashboard_language.csv,traced,L-007..L-013 prohibited; enforced by DC-004 and DC-011,2026-06-14T11:10:00
