scope,metric,model_name,rows,negative_count,negative_pct,extreme_count,extreme_pct,not_computable_count,treatment,rationale
OVERALL,ALL,ALL,63000,573,0.9095,84,0.1333,8550,REPORTED_NOT_CLIPPED,"P6B adds no post-hoc clipping. Values are exactly what the governed models emitted, using the identical call path as the P5 backtests, so that Viewer = Forecast parity holds."
BY_METRIC,CPU,ALL,9000,13,0.1444,1,0.0111,0,REPORTED_NOT_CLIPPED,"P6B adds no post-hoc clipping. Values are exactly what the governed models emitted, using the identical call path as the P5 backtests, so that Viewer = Forecast parity holds."
BY_METRIC,HDD,ALL,22500,222,0.9867,57,0.2533,8100,REPORTED_NOT_CLIPPED,"P6B adds no post-hoc clipping. Values are exactly what the governed models emitted, using the identical call path as the P5 backtests, so that Viewer = Forecast parity holds."
BY_METRIC,IOPS,ALL,9000,31,0.3444,1,0.0111,0,REPORTED_NOT_CLIPPED,"P6B adds no post-hoc clipping. Values are exactly what the governed models emitted, using the identical call path as the P5 backtests, so that Viewer = Forecast parity holds."
BY_METRIC,SSD,ALL,22500,307,1.3644,25,0.1111,450,REPORTED_NOT_CLIPPED,"P6B adds no post-hoc clipping. Values are exactly what the governed models emitted, using the identical call path as the P5 backtests, so that Viewer = Forecast parity holds."
BY_MODEL,ALL,ARIMA_Fixed,4200,79,1.881,3,0.0714,570,REPORTED_NOT_CLIPPED,"P6B adds no post-hoc clipping. Values are exactly what the governed models emitted, using the identical call path as the P5 backtests, so that Viewer = Forecast parity holds."
BY_MODEL,ALL,AutoARIMA,4200,67,1.5952,0,0.0,570,REPORTED_NOT_CLIPPED,"P6B adds no post-hoc clipping. Values are exactly what the governed models emitted, using the identical call path as the P5 backtests, so that Viewer = Forecast parity holds."
BY_MODEL,ALL,ETS Explicit,4200,35,0.8333,1,0.0238,570,REPORTED_NOT_CLIPPED,"P6B adds no post-hoc clipping. Values are exactly what the governed models emitted, using the identical call path as the P5 backtests, so that Viewer = Forecast parity holds."
BY_MODEL,ALL,ETS_Current,4200,86,2.0476,0,0.0,570,REPORTED_NOT_CLIPPED,"P6B adds no post-hoc clipping. Values are exactly what the governed models emitted, using the identical call path as the P5 backtests, so that Viewer = Forecast parity holds."
BY_MODEL,ALL,FNAR-V2,4200,0,0.0,10,0.2381,570,REPORTED_NOT_CLIPPED,"P6B adds no post-hoc clipping. Values are exactly what the governed models emitted, using the identical call path as the P5 backtests, so that Viewer = Forecast parity holds."
BY_MODEL,ALL,FixedGrowth_1_5,4200,0,0.0,0,0.0,570,REPORTED_NOT_CLIPPED,"P6B adds no post-hoc clipping. Values are exactly what the governed models emitted, using the identical call path as the P5 backtests, so that Viewer = Forecast parity holds."
BY_MODEL,ALL,FixedGrowth_3,4200,0,0.0,0,0.0,570,REPORTED_NOT_CLIPPED,"P6B adds no post-hoc clipping. Values are exactly what the governed models emitted, using the identical call path as the P5 backtests, so that Viewer = Forecast parity holds."
BY_MODEL,ALL,FixedGrowth_4,4200,0,0.0,0,0.0,570,REPORTED_NOT_CLIPPED,"P6B adds no post-hoc clipping. Values are exactly what the governed models emitted, using the identical call path as the P5 backtests, so that Viewer = Forecast parity holds."
BY_MODEL,ALL,FixedGrowth_6,4200,0,0.0,0,0.0,570,REPORTED_NOT_CLIPPED,"P6B adds no post-hoc clipping. Values are exactly what the governed models emitted, using the identical call path as the P5 backtests, so that Viewer = Forecast parity holds."
BY_MODEL,ALL,LightGBM,4200,90,2.1429,0,0.0,570,REPORTED_NOT_CLIPPED,"P6B adds no post-hoc clipping. Values are exactly what the governed models emitted, using the identical call path as the P5 backtests, so that Viewer = Forecast parity holds."
BY_MODEL,ALL,LinearRegression,4200,96,2.2857,35,0.8333,570,REPORTED_NOT_CLIPPED,"P6B adds no post-hoc clipping. Values are exactly what the governed models emitted, using the identical call path as the P5 backtests, so that Viewer = Forecast parity holds."
BY_MODEL,ALL,NLIN-DLIN_FIXED,4200,0,0.0,35,0.8333,570,REPORTED_NOT_CLIPPED,"P6B adds no post-hoc clipping. Values are exactly what the governed models emitted, using the identical call path as the P5 backtests, so that Viewer = Forecast parity holds."
BY_MODEL,ALL,SMLP-TCN,4200,0,0.0,0,0.0,570,REPORTED_NOT_CLIPPED,"P6B adds no post-hoc clipping. Values are exactly what the governed models emitted, using the identical call path as the P5 backtests, so that Viewer = Forecast parity holds."
BY_MODEL,ALL,Theta,4200,60,1.4286,0,0.0,570,REPORTED_NOT_CLIPPED,"P6B adds no post-hoc clipping. Values are exactly what the governed models emitted, using the identical call path as the P5 backtests, so that Viewer = Forecast parity holds."
BY_MODEL,ALL,XGBoost,4200,60,1.4286,0,0.0,570,REPORTED_NOT_CLIPPED,"P6B adds no post-hoc clipping. Values are exactly what the governed models emitted, using the identical call path as the P5 backtests, so that Viewer = Forecast parity holds."
BY_METRIC_MODEL,CPU,ARIMA_Fixed,600,13,2.1667,1,0.1667,0,REPORTED_NOT_CLIPPED,"P6B adds no post-hoc clipping. Values are exactly what the governed models emitted, using the identical call path as the P5 backtests, so that Viewer = Forecast parity holds."
BY_METRIC_MODEL,CPU,AutoARIMA,600,0,0.0,0,0.0,0,REPORTED_NOT_CLIPPED,"P6B adds no post-hoc clipping. Values are exactly what the governed models emitted, using the identical call path as the P5 backtests, so that Viewer = Forecast parity holds."
BY_METRIC_MODEL,CPU,ETS Explicit,600,0,0.0,0,0.0,0,REPORTED_NOT_CLIPPED,"P6B adds no post-hoc clipping. Values are exactly what the governed models emitted, using the identical call path as the P5 backtests, so that Viewer = Forecast parity holds."
BY_METRIC_MODEL,CPU,ETS_Current,600,0,0.0,0,0.0,0,REPORTED_NOT_CLIPPED,"P6B adds no post-hoc clipping. Values are exactly what the governed models emitted, using the identical call path as the P5 backtests, so that Viewer = Forecast parity holds."
BY_METRIC_MODEL,CPU,FNAR-V2,600,0,0.0,0,0.0,0,REPORTED_NOT_CLIPPED,"P6B adds no post-hoc clipping. Values are exactly what the governed models emitted, using the identical call path as the P5 backtests, so that Viewer = Forecast parity holds."
BY_METRIC_MODEL,CPU,FixedGrowth_1_5,600,0,0.0,0,0.0,0,REPORTED_NOT_CLIPPED,"P6B adds no post-hoc clipping. Values are exactly what the governed models emitted, using the identical call path as the P5 backtests, so that Viewer = Forecast parity holds."
BY_METRIC_MODEL,CPU,FixedGrowth_3,600,0,0.0,0,0.0,0,REPORTED_NOT_CLIPPED,"P6B adds no post-hoc clipping. Values are exactly what the governed models emitted, using the identical call path as the P5 backtests, so that Viewer = Forecast parity holds."
BY_METRIC_MODEL,CPU,FixedGrowth_4,600,0,0.0,0,0.0,0,REPORTED_NOT_CLIPPED,"P6B adds no post-hoc clipping. Values are exactly what the governed models emitted, using the identical call path as the P5 backtests, so that Viewer = Forecast parity holds."
BY_METRIC_MODEL,CPU,FixedGrowth_6,600,0,0.0,0,0.0,0,REPORTED_NOT_CLIPPED,"P6B adds no post-hoc clipping. Values are exactly what the governed models emitted, using the identical call path as the P5 backtests, so that Viewer = Forecast parity holds."
BY_METRIC_MODEL,CPU,LightGBM,600,0,0.0,0,0.0,0,REPORTED_NOT_CLIPPED,"P6B adds no post-hoc clipping. Values are exactly what the governed models emitted, using the identical call path as the P5 backtests, so that Viewer = Forecast parity holds."
BY_METRIC_MODEL,CPU,LinearRegression,600,0,0.0,0,0.0,0,REPORTED_NOT_CLIPPED,"P6B adds no post-hoc clipping. Values are exactly what the governed models emitted, using the identical call path as the P5 backtests, so that Viewer = Forecast parity holds."
BY_METRIC_MODEL,CPU,NLIN-DLIN_FIXED,600,0,0.0,0,0.0,0,REPORTED_NOT_CLIPPED,"P6B adds no post-hoc clipping. Values are exactly what the governed models emitted, using the identical call path as the P5 backtests, so that Viewer = Forecast parity holds."
BY_METRIC_MODEL,CPU,SMLP-TCN,600,0,0.0,0,0.0,0,REPORTED_NOT_CLIPPED,"P6B adds no post-hoc clipping. Values are exactly what the governed models emitted, using the identical call path as the P5 backtests, so that Viewer = Forecast parity holds."
BY_METRIC_MODEL,CPU,Theta,600,0,0.0,0,0.0,0,REPORTED_NOT_CLIPPED,"P6B adds no post-hoc clipping. Values are exactly what the governed models emitted, using the identical call path as the P5 backtests, so that Viewer = Forecast parity holds."
BY_METRIC_MODEL,CPU,XGBoost,600,0,0.0,0,0.0,0,REPORTED_NOT_CLIPPED,"P6B adds no post-hoc clipping. Values are exactly what the governed models emitted, using the identical call path as the P5 backtests, so that Viewer = Forecast parity holds."
BY_METRIC_MODEL,HDD,ARIMA_Fixed,1500,0,0.0,0,0.0,540,REPORTED_NOT_CLIPPED,"P6B adds no post-hoc clipping. Values are exactly what the governed models emitted, using the identical call path as the P5 backtests, so that Viewer = Forecast parity holds."
BY_METRIC_MODEL,HDD,AutoARIMA,1500,0,0.0,0,0.0,540,REPORTED_NOT_CLIPPED,"P6B adds no post-hoc clipping. Values are exactly what the governed models emitted, using the identical call path as the P5 backtests, so that Viewer = Forecast parity holds."
BY_METRIC_MODEL,HDD,ETS Explicit,1500,0,0.0,0,0.0,540,REPORTED_NOT_CLIPPED,"P6B adds no post-hoc clipping. Values are exactly what the governed models emitted, using the identical call path as the P5 backtests, so that Viewer = Forecast parity holds."
BY_METRIC_MODEL,HDD,ETS_Current,1500,30,2.0,0,0.0,540,REPORTED_NOT_CLIPPED,"P6B adds no post-hoc clipping. Values are exactly what the governed models emitted, using the identical call path as the P5 backtests, so that Viewer = Forecast parity holds."
