question_id,metric,question,why_unresolved,impact,how_to_resolve
UQ01,CPU/IOPS,Why do CPU and IOPS actuals stop at 2023-07-20 while HDD actuals run to 2026-08-17?,Only metadata was inspected. The refresh pipeline for the *_actual_region tables was not examined.,HIGH. A cohort mixing 2026 HDD history with 2023 CPU/IOPS history produces backtests over non-comparable periods.,"Ask the data owner whether the *_actual_region tables are still refreshed, or find the current actuals source."
UQ02,SSD,"RESOLVED IN P1B. SSD actuals do exist. Four sources found; two current to 2026-08-22 (lvwe/lvne metrics tables, Forest granularity).",RESOLVED. P1 probed only 3 of 102 SSD objects and searched by Key=region; SSD actuals are keyed by forest and live in accuracy metrics tables.,RESOLVED. 272 SSD combinations clear the 50-observation threshold.,Done. See v6_24_p1b_ssd_correction.md.
UQ03,MEMORY,Are vw_SubstrateBE_Demand_Memory_Region/Forest intended to be populated?,Both views exist with the correct 9/10-column contract but return 0 rows.,MEDIUM. Memory is listed as an MVP metric but has no data.,"Ask the data owner. If unplanned, drop Memory from the MVP metric list."
UQ04,HDD,Why does every Basilisk Forest combination have exactly 144 observations?,"Q070 returned min_obs = max_obs = 144 across all 155 forests, which is unusually uniform.",MEDIUM. May indicate a synthetic or padded series rather than observed history.,Inspect the Basilisk Forest date distribution in P2 before including it in the cohort.
UQ05,CPU,What is in forecast_substrateBE_cpu_byDB_forest?,Q069 failed because the assumed ModelVersion column does not exist. Not retried.,LOW. Region-level CPU actuals are already confirmed.,Read its INFORMATION_SCHEMA signature in P2.
UQ06,ALL,Is ValueRef (present only in the *_actual_region tables) meaningful for backtesting?,The column exists but its semantics were not established.,LOW. Value is sufficient for the Viewer contract.,Sample ValueRef against Value in P2.
UQ07,ALL,Which ForecastVersion vintages should the cohort pin to?,ForecastVersion was catalogued as a column but its distribution was not measured per route.,MEDIUM. V6 R6 pinned 'latest 3 versions' for HDD; the equivalent for CPU/IOPS is unknown.,Measure ForecastVersion distribution per route in P2 before extraction.
UQ08,ALL,Are the 38 vw_SubstrateBE_Demand_* views usable as a uniform serving layer?,"They share one clean contract across all five metrics, but Basilisk and Memory return 0 rows and the sampled rows are forward-dated, so they serve demand plan rather than actuals.",MEDIUM. They would be the cleanest long-term source if backfilled.,Ask the data owner about their population schedule.
UQ09,SSD,Is Mean_Actual over a rolling 6-7 day window an acceptable observed series for backtesting?,"The lvwe/lvne tables store window aggregates, not raw daily points. The raw daily sources (Greenland, SSD_Demand_History) closed in 2021.","HIGH. It is the only current SSD actuals shape. If windowed means are unacceptable, SSD loses its current history.",Owner decision. Alternatively locate the upstream raw table that feeds lvwe/lvne.
UQ10,SSD,Why do the current SSD actuals only start in April 2026?,The lvwe/lvne tables carry a single Forecast_Version (2026-03-12) and start shortly after it.,MEDIUM. 131 observations clears 50 but is a much shorter history than HDD.,"Ask whether earlier forecast versions are retained, or whether history can be rebuilt."
UQ11,SSD,Do lvwe and lvne represent two distinct scenarios or one series with two adjustments?,Both carry the same 137 keys over nearly the same window.,MEDIUM. Determines whether SSD contributes 272 or 136 distinct Viewer combinations.,Compare Mean_Actual between the two tables for a shared key in P2.
