record_level,model_name,family,model_count,evidence_type,legacy_reference_minutes,all_6_hdd_minutes,boon_slice_minutes,namprd07_pilot_minutes,confidence,notes
FAMILY,ALL_GROWTH_MODELS,growth_baseline,4,ALLOCATED_FROM_GROUP_STAGE,0.0914,0.99,0.35,0.002,LOW,"Four models allocated equally from the 0.16-minute seven-model S03a stage; useful for budgeting but not individual benchmarking"
MODEL,FixedGrowth_1_5,growth_baseline,1,ALLOCATED_FROM_GROUP_STAGE,0.0229,0.25,0.09,0.001,LOW,"No isolated timing; equal share of S03a"
MODEL,FixedGrowth_3,growth_baseline,1,ALLOCATED_FROM_GROUP_STAGE,0.0229,0.25,0.09,0.001,LOW,"No isolated timing; equal share of S03a"
MODEL,FixedGrowth_4,growth_baseline,1,ALLOCATED_FROM_GROUP_STAGE,0.0229,0.25,0.09,0.001,LOW,"No isolated timing; equal share of S03a"
MODEL,FixedGrowth_6,growth_baseline,1,ALLOCATED_FROM_GROUP_STAGE,0.0229,0.25,0.09,0.001,LOW,"No isolated timing; equal share of S03a"
FAMILY,ALL_STATISTICAL_MODELS,statistical,5,MIXED_GROUP_ALLOCATION,6.4717,70.06,24.77,0.157,LOW_TO_MEDIUM,"ARIMA_Fixed and ETS_Current allocated from S03a; AutoARIMA ETS Explicit and Theta allocated from the 10.71-minute S03b stage"
MODEL,ARIMA_Fixed,statistical,1,ALLOCATED_FROM_GROUP_STAGE,0.0229,0.25,0.09,0.001,LOW,"No isolated timing; equal share of S03a"
MODEL,ETS_Current,statistical,1,ALLOCATED_FROM_GROUP_STAGE,0.0229,0.25,0.09,0.001,LOW,"No isolated timing; equal share of S03a"
MODEL,AutoARIMA,statistical,1,ALLOCATED_FROM_GROUP_STAGE,2.1420,23.19,8.20,0.052,LOW,"No isolated timing; equal share of S03b"
MODEL,ETS Explicit,statistical,1,ALLOCATED_FROM_GROUP_STAGE,2.1420,23.19,8.20,0.052,LOW,"No isolated timing; equal share of S03b"
MODEL,Theta,statistical,1,ALLOCATED_FROM_GROUP_STAGE,2.1420,23.19,8.20,0.052,LOW,"No isolated timing; equal share of S03b"
FAMILY,ALL_MACHINE_LEARNING_MODELS,machine_learning,3,MIXED_GROUP_ALLOCATION,4.3069,46.63,16.49,0.105,LOW_TO_MEDIUM,"LinearRegression allocated from S03a; LightGBM and XGBoost allocated from S03b"
MODEL,LinearRegression,machine_learning,1,ALLOCATED_FROM_GROUP_STAGE,0.0229,0.25,0.09,0.001,LOW,"No isolated timing; equal share of S03a"
MODEL,LightGBM,machine_learning,1,ALLOCATED_FROM_GROUP_STAGE,2.1420,23.19,8.20,0.052,LOW,"Exact Viewer model was measured only inside S03b; improved candidate variants were much slower and inform the overnight contingency"
MODEL,XGBoost,machine_learning,1,ALLOCATED_FROM_GROUP_STAGE,2.1420,23.19,8.20,0.052,LOW,"Exact Viewer model was measured only inside S03b; improved candidate variants were much slower and inform the overnight contingency"
FAMILY,ALL_NEURAL_MODELS,deep_learning,3,SUM_OF_ISOLATED_MEASUREMENTS,3.7641,40.75,14.41,0.091,MEDIUM,"Contract family is lightweight_neural; historical execution reports label the family Deep Learning"
MODEL,FNAR-V2,deep_learning,1,MEASURED_ISOLATED,3.2610,35.30,12.48,0.079,MEDIUM,"195.6613 seconds for 454 series-origin units in V3.2D"
MODEL,NLIN-DLIN_FIXED,deep_learning,1,MEASURED_ISOLATED,0.0164,0.18,0.06,0.000,MEDIUM,"0.9863 seconds for 454 series-origin units in V3.2D"
MODEL,SMLP-TCN,deep_learning,1,MEASURED_ISOLATED,0.4866,5.27,1.86,0.012,MEDIUM,"29.196 seconds for 454 series-origin units in V3.2D"
