check_name,status,details
V1 declared as active project root,pass,VERSION_INFO.md and ACTIVE_PROJECT_ROOT.md declare V1 absolute path as active_project_root.
Parent declared container/version root only,pass,All root markers exclude the parent from being the active working root.
Root path identical across all four markers,pass,VERSION_INFO.md ACTIVE_PROJECT_ROOT.md docs/V1_ACTIVE_ROOT_POLICY.md config/project_root_policy.json agree.
config/project_root_policy.json is valid JSON,pass,Parsed successfully with expected keys and values.
config JSON aligned with validation script equality checks,pass,active_project_root project_container_root active_version=V1 shiny_policy=read_only_no_recompute all match.
Codex instruction policy requires V1,pass,docs/V1_ACTIVE_ROOT_POLICY.md Codex Instruction Policy present.
Claude audit instruction policy requires V1,pass,docs/V1_ACTIVE_ROOT_POLICY.md Claude Audit Instruction Policy present.
Historical file 1 preserved with old-root text,pass,outputs/governance/6_1_governance_foundation/governance_6_0_6_1_validation.csv lines 2-3 retain old container-root references.
Historical file 2 preserved with old-root text,pass,outputs/model_lab/audit_4/_audit_4_independent_verification.py line 12 retains ROOT old container-root assignment.
Old-root references not rewritten,pass,Decision CMD-004 and action MA-001 confirm historical_do_not_edit preserved.
No runtime old-root references remain,pass,Independent grep over python config shiny_app setup.R returned zero matches.
Stage 05 model_lab artifacts protected,pass,outputs/model_lab present and not targeted by formalization; existence-based check.
Stage 06 governance closure pack protected,pass,outputs/governance/6_5_governance_closure_pack present and unmodified.
Audit #6 artifacts protected,pass,outputs/governance/audit_6 present and unmodified.
Shiny files protected before Stage 07,pass,shiny_app present and unchanged by this task.
Pre-existing shiny_app reconciliation flagged,warning,shiny_app already contains modules/server/ui; Block 7.0 scaffold must reconcile with existing content. Advisory not blocking.
Migration decisions complete and traceable,pass,CMD-001..CMD-007 each completed with rationale and affected files.
Controlled migration validation re-runnable,pass,python/versioning/validate_v1_controlled_migration.py present and writes refreshable validation CSV.
Codex validation result reproduced,pass,21 pass 0 fail consistent with v1_controlled_migration_validation.csv.
Non-modification proof strength,warning,Protection checks are existence/read-only based not hash-based. Advisory not blocking.
.venv portability risk documented,pass,Flagged high-risk non-portable; recreate-not-migrate policy recorded.
Diagnostic counts reconcile with closeout,pass,512 scanned 2 files 3 rows 0 runtime rewrites match closeout facts.
No blocker before Stage 07 Block 7.0,pass,No blocker-severity finding identified.
V1 safe as active root for Stage 07,pass,All critical checks pass; only advisory items remain.
