"route_id","metric","db_type","route_branch","granularity","expected_entity_count","observed_entity_count","source","route_status","reconciliation_status","notes"
"E11|INITIAL_DELIVERY|ALL","ALL","ALL","Initial delivery","MIXED",130,0,"AEGIS_Full_Status_Pre_Delivery.md plus missing E11 cohort CSV","DOCUMENTED_ONLY","BLOCKED_SOURCE_MISSING","Summary prose states 130 cases across 29 route artifacts; exact cases are unavailable."
"E11|INITIAL_DELIVERY|CPU","CPU","MIXED","Initial delivery metric subtotal","MIXED",48,0,"AEGIS_Full_Status_Pre_Delivery.md plus missing E11 cohort CSV","DOCUMENTED_ONLY","BLOCKED_SOURCE_MISSING","Thirty-two CPU cases were documented as navigation-valid with actuals mapping accuracy pending."
"E11|INITIAL_DELIVERY|HDD","HDD","MIXED","Initial delivery metric subtotal","MIXED",32,0,"AEGIS_Full_Status_Pre_Delivery.md plus missing E11 cohort CSV","DOCUMENTED_ONLY","BLOCKED_SOURCE_MISSING","Entity-level membership is unavailable."
"E11|INITIAL_DELIVERY|IOPS","IOPS","MIXED","Initial delivery metric subtotal","MIXED",20,0,"AEGIS_Full_Status_Pre_Delivery.md plus missing E11 cohort CSV","DOCUMENTED_ONLY","BLOCKED_SOURCE_MISSING","Entity-level membership is unavailable."
"E11|INITIAL_DELIVERY|SSD","SSD","MIXED","Initial delivery metric subtotal","MIXED",30,0,"AEGIS_Full_Status_Pre_Delivery.md plus missing E11 cohort CSV","DOCUMENTED_ONLY","BLOCKED_SOURCE_MISSING","SSD-Phoenix was required, but the exact 30 SSD cases are unavailable."
"SSD|Phoenix|LEGACY_VARIANT|Low Volume No Efficiency|Forest","SSD","Phoenix","Low Volume No Efficiency","Forest",148,148,"V6.17 forecast dropdown metadata","OPERATIONAL_FORECAST_ONLY","SELF_CONSISTENT_CURRENT_SCOPE","All 148 keys are also present in the With Efficiency variant."
"SSD|Phoenix|LEGACY_VARIANT|Low Volume With Efficiency|Forest","SSD","Phoenix","Low Volume With Efficiency","Forest",152,152,"V6.17 forecast dropdown metadata","OPERATIONAL_FORECAST_ONLY","SELF_CONSISTENT_CURRENT_SCOPE","Four additional keys: CHNPR01, NAMP156, NAMP242, NAMP243."
"SSD|Phoenix|Organic|Forest","SSD","Phoenix","Organic","Forest",144,144,"AEGIS_Master_Catalog_Discovery_E0_E10.md","DISCOVERY_DOCUMENTED","BLOCKED_CROSSWALK_MISSING","The source universe file and exact 144-key membership are missing."
"SSD|Phoenix|Inorganic|Forest","SSD","Phoenix","Inorganic","Forest",133,133,"AEGIS_Master_Catalog_Discovery_E0_E10.md","DISCOVERY_DOCUMENTED","BLOCKED_CROSSWALK_MISSING","Separate physical branch; actuals source documented as unresolved."
"SSD|Phoenix|Organic|Region","SSD","Phoenix","Organic","Region",25,25,"AEGIS_Master_Catalog_Discovery_E0_E10.md","DISCOVERY_DOCUMENTED","BLOCKED_SOURCE_MEMBERSHIP_MISSING","The document states 25 Regions; exact route-summary source is missing."
