"artifact_id","current_path","current_format","used_by","would_break_under_parquet_only","required_replacement","generation_blocking","owner_decision_required","notes"
"forecast_viewer_full","data/processed/forecast_viewer_model_outputs.csv","csv","Accuracy page via acc_data and fvp_data legacy helpers","YES","Parquet-backed accuracy input or a registry entry pointing at the prepared Parquet","YES","YES","204300 rows, 39 distinct entities, 15 models, about 51 MB."
"forecast_viewer_full_manifest","data/processed/forecast_viewer_model_outputs_manifest.csv","csv","Legacy Viewer manifest helpers","YES","Manifest regenerated for the new universe","NO","YES","Describes the legacy artifact only."
"actuals","data/processed/actuals.csv","csv","Legacy forecast helpers and TTL demand","YES","Prepared actuals source","NO","YES","Not used by the live Viewer or Forecast providers."
"forecasts","data/processed/forecasts.csv","csv","Legacy forecast helpers","YES","Prepared forward Parquet","NO","YES","Superseded in the live UI by forecast_pilot."
"forecasts_with_intervals_60d_calibrated","data/processed/forecasts_with_intervals_relative_60d_calibrated.csv","csv","Legacy interval helpers","YES","Prepared interval columns in the forward artifact","NO","YES","Related to the deferred interval decision."
"ttl_months_to_live_snapshot","data/processed/ttl_months_to_live_snapshot.csv","csv","TTL page","YES","TTL input for the new universe","NO","YES","TTL is a documented prototype."
"ttl_supply_demand_timeseries","data/processed/ttl_supply_demand_timeseries.csv","csv","TTL page","YES","TTL input for the new universe","NO","YES","TTL is a documented prototype."
"key_results, final_model_universe, champion_summary, risk_register_final, tournament_standings, tournament_scorecard, dashboard_handoff_manifest, artifact_manifest","data/processed/*.csv","csv","Governed downloads in ARTIFACT_DOWNLOAD_SPECS","YES","Keep as CSV","NO","NO","These are governance artifacts and should remain CSV."
"forecast_viewer_model_outputs_v2_full.parquet","V6/outputs/v6_17_full_multimetric_productive_artifact_generation/","parquet","Viewer provider","NO","None","NO","NO","Read directly by viewer_pilot and absent from the registry."
"forecast_forward_outputs_v6_17_full.parquet","V6/outputs/v6_17_full_multimetric_productive_artifact_generation/","parquet","Forecast provider","NO","None","NO","NO","Read directly by forecast_pilot and absent from the registry."
"forecast_viewer_model_outputs_v2_full.csv","V6/outputs/v6_17_full_multimetric_productive_artifact_generation/","csv","No live consumer","NO","Removable under Parquet-only","NO","YES","About 690 MB duplicate of the Parquet."
"forecast_forward_outputs_v6_17_full.csv","V6/outputs/v6_17_full_multimetric_productive_artifact_generation/","csv","No live consumer","NO","Removable under Parquet-only","NO","YES","About 255 MB duplicate of the Parquet."
"v6_18_navigation_contract.csv","V6/outputs/v6_18_shiny_dynamic_taxonomy_ui/","csv","Shared selection module for Viewer and Forecast","NO","Keep as CSV","NO","NO","901 governance rows; must stay human readable."
