execution_order,model,family,action,execution_status,requires_allow_execute,requires_benchmark_auth,command_or_source,target_staging_path,notes
1,FixedGrowth_1_5,Growth baseline,generate,READY_FOR_BENCHMARK_AUTHORIZATION,YES,YES,python python/model_lab/run_full_baseline_execution.py,,Baseline heavy full run gated behind benchmark auth.
2,FixedGrowth_3,Growth baseline,generate,READY_FOR_BENCHMARK_AUTHORIZATION,YES,YES,python python/model_lab/run_full_baseline_execution.py,,Baseline heavy full run gated behind benchmark auth.
3,FixedGrowth_4,Growth baseline,generate,READY_FOR_BENCHMARK_AUTHORIZATION,YES,YES,python python/model_lab/run_full_baseline_execution.py,,Baseline heavy full run gated behind benchmark auth.
4,FixedGrowth_6,Growth baseline,generate,READY_FOR_BENCHMARK_AUTHORIZATION,YES,YES,python python/model_lab/run_full_baseline_execution.py,,Baseline heavy full run gated behind benchmark auth.
5,ARIMA_Fixed,Statistical,train,READY_FOR_BENCHMARK_AUTHORIZATION,YES,YES,python python/model_lab/run_full_baseline_execution.py,,Baseline heavy full run gated behind benchmark auth.
6,ETS_Current,Statistical,train,READY_FOR_BENCHMARK_AUTHORIZATION,YES,YES,python python/model_lab/run_full_baseline_execution.py,,Baseline heavy full run gated behind benchmark auth.
7,AutoARIMA,Statistical,train,EXECUTION_PATH_NOT_READY,YES,YES,python python/model_lab/run_daily_clean_challengers.py --execute --allow-execute,,Clean challenger live-fit pending; gated behind benchmark auth.
8,ETS Explicit,Statistical,train,EXECUTION_PATH_NOT_READY,YES,YES,python python/model_lab/run_daily_clean_challengers.py --execute --allow-execute,,Clean challenger live-fit pending; gated behind benchmark auth.
9,Theta,Statistical,train,EXECUTION_PATH_NOT_READY,YES,YES,python python/model_lab/run_daily_clean_challengers.py --execute --allow-execute,,Clean challenger live-fit pending; gated behind benchmark auth.
10,LinearRegression,Machine learning,train,READY_FOR_BENCHMARK_AUTHORIZATION,YES,YES,python python/model_lab/run_full_baseline_execution.py,,Baseline heavy full run gated behind benchmark auth.
11,LightGBM,Machine learning,train,EXECUTION_PATH_NOT_READY,YES,YES,python python/model_lab/run_daily_clean_challengers.py --execute --allow-execute,,Clean challenger live-fit pending; gated behind benchmark auth.
12,XGBoost,Machine learning,train,EXECUTION_PATH_NOT_READY,YES,YES,python python/model_lab/run_daily_clean_challengers.py --execute --allow-execute,,Clean challenger live-fit pending; gated behind benchmark auth.
13,FNAR-V2,Deep Learning,reuse_frozen_artifact,EXECUTED_REUSE_FROZEN,YES,NO,outputs/v3_2b_model_candidates/candidate_outputs/full_candidate_outputs.csv,outputs/v3_3_daily_refresh/v3_3c_exec_execution_wiring/staging/dl_reuse_frozen_forecasts.csv,Frozen DL reuse - executed in this stage.
14,NLIN-DLIN_FIXED,Deep Learning,reuse_frozen_artifact,EXECUTED_REUSE_FROZEN,YES,NO,outputs/v3_2b_model_candidates/candidate_outputs/full_candidate_outputs.csv,outputs/v3_3_daily_refresh/v3_3c_exec_execution_wiring/staging/dl_reuse_frozen_forecasts.csv,Frozen DL reuse - executed in this stage.
15,SMLP-TCN,Deep Learning,reuse_frozen_artifact,EXECUTED_REUSE_FROZEN,YES,NO,outputs/v3_2b_model_candidates/candidate_outputs/full_candidate_outputs.csv,outputs/v3_3_daily_refresh/v3_3c_exec_execution_wiring/staging/dl_reuse_frozen_forecasts.csv,Frozen DL reuse - executed in this stage.
