file,function_or_command,mode_or_flag,sql_risk,auth_risk,model_run_risk,mutation_risk,promote_risk,safe_for_v5_5_yes_no,notes
python/orchestration/run_daily_refresh_orchestrator.py,module import,import-time,none,none,none,none,none,yes,"heavy imports (pandas/pyodbc/models) are LAZY inside functions; module import has no side effects"
python/orchestration/run_daily_refresh_orchestrator.py,do_dry_run,--dry-run,none,none,none,none,none,yes,"pure print of plan; no writes; prints DRY_RUN_OK; used as V5.5 sub-proof"
python/orchestration/run_daily_refresh_orchestrator.py,do_run(execute=False),--validate,none,none,none,writes_run_dir_outside_v5_5,none,partial,"no SQL/models/promote/productive-mutation; BUT creates run-dirs under outputs/v3_3_daily_refresh (outside V5.5 area) + imports pandas -> NOT used in V5.5"
python/orchestration/run_daily_refresh_orchestrator.py,stage_ingestion,--execute-staging --allow-execute,unsafe_sql,unsafe_entra_mfa,none,writes_run_dir_raw,none,no,"imports export_hdd_region -> mod.export_hdd_region() = LIVE SQL via pyodbc + Entra Interactive; NEVER run in V5.5"
python/orchestration/run_daily_refresh_orchestrator.py,stage_transform,--execute-staging,none,none,none,writes_candidate,none,no,"reads run-dir raw -> writes processed candidate; only after ingestion; not run"
python/orchestration/run_daily_refresh_orchestrator.py,stage_baseline,--execute-staging,none,none,unsafe_models,writes_staging,none,no,"model_registry get_model + fit/predict = runs models; registry top-imports prohibited; not run"
python/orchestration/run_daily_refresh_orchestrator.py,stage_challengers,--execute-staging,none,none,unsafe_models,writes_staging,none,no,"clean challenger live-fit (torch-free) = runs models; not run"
python/orchestration/run_daily_refresh_orchestrator.py,stage_dl_reuse,--execute-staging,none,none,safe_reads_frozen,writes_staging,none,no,"reads frozen DL artifact + writes staging; part of execute path; not run"
python/orchestration/run_daily_refresh_orchestrator.py,do_promote,--promote --allow-promote,none,none,none,mutates_data_processed,unsafe_promote,no,"robocopy candidate -> data/processed + run_metadata; PROMOTE; NEVER run in V5.5"
python/ingestion/export_hdd_region.py,export_hdd_region,called by stage_ingestion,unsafe_sql,unsafe_entra_mfa,none,writes_raw,none,no,"pyodbc + ODBC Driver 18 + ActiveDirectoryInteractive; not imported by V5.5 (no pyodbc in refresh image)"
python/transform/build_data_contract.py,build_data_contract,called by stage_transform,none,none,none,writes_processed_candidate,none,no,"transform; not run in V5.5"
python/model_lab/models/model_registry.py,get_model,imported by stage_baseline,none,none,unsafe_models,none,none,no,"registry top-imports NBEATS/NHITS; never imported in V5.5"
scripts/refresh_validate_only.py,main (V5.5 wrapper),validate-only,none,none,none,writes_only_v5_5_output,none,yes,"NEW V5.5 wrapper; stdlib-only; validates paths/mounts/contracts + invokes --dry-run; writes ONLY to outputs/v5_5_refresh_service_validate"
