candidate_id,model_name,model_family,candidate_type,implementation_status,dependency_status,expected_runtime_risk,allowed_for_subset_test,allowed_for_full_backtest,notes
FNAR-V2,FastNeuralAR_MLP_v2_direct,lightweight_neural,dl_remediation,planned,available_sklearn_1.9.0,low_medium,yes,pending_subset_pass,Remediation of current FastNeuralAR_MLP; direct multi-horizon (no recursion) + log1p transform + non-negative clamp + L2 + early stopping
NLIN-DLIN,NLinear_or_DLinear_lightweight,linear_dl,dl_lightweight,planned,available_torch_2.12.0_cpu,low,yes,pending_subset_pass,Lightweight linear DL; epoch cap + early stopping; simple controlled implementation; CPU only
SMLP-TCN,SmallTCN_or_SmallMLPGlobal,lightweight_neural,dl_lightweight,planned,available_torch_2.12.0_cpu,medium,yes,pending_subset_pass,Small net with strict epoch/iteration cap; TCN if viable else SmallMLPGlobal fallback; non-negative clamp
LGBM-IMP,LightGBM_candidate_improved,gradient_boosting,ml,planned,available_lightgbm_4.6.0,low,yes,pending_subset_pass,Improved LightGBM direct multi-horizon; already stable mid-pack in V3.2A; runtime recorded
XGB-IMP,XGBoost_candidate_improved,gradient_boosting,ml,planned,available_xgboost_3.2.0,low,yes,pending_subset_pass,Improved XGBoost direct multi-horizon; runtime recorded
ENET-RIDGE,ElasticNet_or_Ridge_direct_multi_horizon,linear_ml,ml,planned,available_sklearn_1.9.0,very_low,yes,pending_subset_pass,Regularized linear regression per horizon; fastest fallback; non-negative clamp
REF-ETS,ETS Explicit,statistical,reference_champion,governed_frozen,available,not_applicable,no,comparison_anchor,Current governed champion (CHAMPION_SELECTED_WITH_CONDITIONS); comparison anchor only; NOT a candidate; NOT modified
REF-BASE,AutoARIMA/Theta/LightGBM/XGBoost(current)/FixedGrowth_*,mixed,reference_baseline,governed_frozen,available,not_applicable,no,comparison_anchor,Existing governed baselines from tournament_model_scorecard; comparison anchors only; NOT candidates
EXC-FNAR1,FastNeuralAR_MLP (current),lightweight_neural,reference_under_audit,governed_under_audit,available,not_applicable,no,comparison_anchor,V3.2A-audited model being remediated; kept as the failing baseline to beat; NOT modified
EXC-NBEATS,NBEATS,deep_learning,excluded_not_primary,deferred,available_darts_0.44.1,high_colossal_runtime,no,no,Excluded as PRIMARY candidate per V3.2B rule 13 (prior colossal runtime); deferred; revisit only if lightweight candidates fail
EXC-NHITS,NHITS,deep_learning,excluded_not_primary,deferred,available_darts_0.44.1,high_colossal_runtime,no,no,Excluded as PRIMARY candidate per V3.2B rule 13 (prior colossal runtime); deferred; revisit only if lightweight candidates fail
