version,internal_stage_mapping,description,current_status,notes
V6.0,"V6.0A/V6.0B and pre-correction V6 foundation","Establish V6 baseline, Azure-readiness context, and the correction-program starting point",COMPLETED,"Historical foundation; no implementation is performed by V6.15"
V6.1,V6.0F-R1,"Inventory Tesseract metrics, scenarios, sources, and keys",COMPLETED,"Read-only source inventory accepted"
V6.2,V6.0F-R2,"Define product and UI decision contract",COMPLETED,"Defines exposed metric/scenario/granularity combinations"
V6.3,V6.0F-R3,"Define type taxonomy, scenario dictionary, and normalization rules",COMPLETED,"Raw values and model/type separation preserved"
V6.4,V6.0F-R4,"Remove rejected Multi-Metric implementation and restore product baseline",COMPLETED,"No Multi-Metric tab in the valid product state"
V6.5,V6.0F-R5,"Define governed extraction contract",COMPLETED,"Phase scope, version, time-window, and key policies established"
V6.6,V6.0F-R5b,"Select storage and performance strategy",COMPLETED,"DuckDB plus compact metadata selected"
V6.7,V6.0F-R6-Phase-1,"Create and validate governed Phase-1 extraction",COMPLETED,"HDD and two SSD-Phoenix forecast scenarios extracted"
V6.8,V6.0F-R7,"Create scenario resolver and production storage",COMPLETED_UNWIRED,"Resolver and storage exist but intentionally do not affect Shiny"
V6.9,V6.0F-R8-original,"Attempt Scenario Explorer Viewer integration",REJECTED_SUPERSEDED,"Technical evidence retained; product UX must not be restored"
V6.10,V6.0F-R8-FIX-0,"Design one unified Setup Backtest View",COMPLETED_ACCEPTED,"Defines the target product experience"
V6.11,V6.0F-R8-FIX-1,"Remove Scenario Explorer and restore the legacy single Viewer setup",COMPLETED,"Current valid Viewer state"
V6.12,V6.0F-R8-FIX-2,"Define Backtest Artifact v2 contract",COMPLETED,"Documentation and contract only; no backtest output created"
V6.13,V6.0F-R8-FIX-2B,"Estimate backtest compute budget",COMPLETED,"Four-hour future authorization window recommended; no model run"
V6.14,V6.0F-WORK-RECOVERY,"Create durable recovery checkpoint and handoff",COMPLETED,"Primary worktree and uncommitted recovery state recorded"
V6.15,v6_15_artifact_csv_inventory_growth_budget,"Inventory artifacts, CSVs, dashboard inputs, metric/key scope, models, and growth",COMPLETED,"Planning only; V6.16 remains unauthorized"
