model_name,model_origin,model_family,final_status,selected_champion,risk_flag,eligible_for_champion,governance_primary_action,governance_secondary_action,recommendation_summary,dashboard_requirement,future_review_trigger,created_timestamp
ARIMA_Fixed,baseline,statistical,active_tournament_model,False,False,True,MONITOR,BENCHMARK_REFERENCE,Valid non-champion model retained as a governed reference.,Display as governed non-champion reference model.,Review if future evidence materially changes model status.,2026-06-14T10:32:59
ETS_Current,baseline,statistical,active_tournament_model,False,False,True,MONITOR,BENCHMARK_REFERENCE,Valid non-champion model retained as a governed reference.,Display as governed non-champion reference model.,Review if future evidence materially changes model status.,2026-06-14T10:32:59
LinearRegression,baseline,machine_learning,active_tournament_model,False,False,True,MONITOR,BENCHMARK_REFERENCE,Valid non-champion model retained as a governed reference.,Display as governed non-champion reference model.,Review if future evidence materially changes model status.,2026-06-14T10:32:59
FixedGrowth_1_5,baseline,growth_baseline,active_tournament_model,False,False,True,MONITOR,BENCHMARK_REFERENCE,Valid non-champion model retained as a governed reference.,Display as governed non-champion reference model.,Review if future evidence materially changes model status.,2026-06-14T10:32:59
FixedGrowth_3,baseline,growth_baseline,active_tournament_model,False,False,True,MONITOR,BENCHMARK_REFERENCE,Valid non-champion model retained as a governed reference.,Display as governed non-champion reference model.,Review if future evidence materially changes model status.,2026-06-14T10:32:59
FixedGrowth_4,baseline,growth_baseline,active_tournament_model,False,False,True,MONITOR,BENCHMARK_REFERENCE,Valid non-champion model retained as a governed reference.,Display as governed non-champion reference model.,Review if future evidence materially changes model status.,2026-06-14T10:32:59
FixedGrowth_6,baseline,growth_baseline,active_tournament_model,False,False,True,REVIEW,MONITOR,Baseline retained as reference with manual review carry-forward.,Display manual-review carry-forward if shown in model details.,Manual review resolves or reclassifies risk status.,2026-06-14T10:32:59
AutoARIMA,challenger,statistical,active_tournament_model,False,False,True,MONITOR,MODEL_POOL_REFERENCE,Valid non-champion model retained as a governed reference.,Display as governed non-champion reference model.,Review if future evidence materially changes model status.,2026-06-14T10:32:59
Theta,challenger,statistical,active_tournament_model,False,False,True,MONITOR,MODEL_POOL_REFERENCE,Valid non-champion model retained as a governed reference.,Display as governed non-champion reference model.,Review if future evidence materially changes model status.,2026-06-14T10:32:59
ETS Explicit,challenger,statistical,selected_champion,True,False,True,KEEP_WITH_CONDITIONS,MONITOR,Selected champion with conditions; preserve medium confidence and explicit caveats.,Display as conditional champion with medium confidence; do not present as unconditional winner.,Future audit or production monitoring may close or change champion conditions.,2026-06-14T10:32:59
LightGBM,challenger,machine_learning,active_tournament_model,False,False,True,MONITOR,MODEL_POOL_REFERENCE,Valid non-champion model retained as a governed reference.,Display as governed non-champion reference model.,Review if future evidence materially changes model status.,2026-06-14T10:32:59
XGBoost,challenger,machine_learning,active_tournament_model,False,False,True,MONITOR,MODEL_POOL_REFERENCE,Valid non-champion model retained as a governed reference.,Display as governed non-champion reference model.,Review if future evidence materially changes model status.,2026-06-14T10:32:59
FastNeuralAR_MLP,challenger,lightweight_neural,active_tournament_model,False,True,False,REVIEW_INVESTIGATE,EXCLUDE_FROM_CHAMPION_CONSIDERATION,High-risk challenger retained for transparency but excluded from champion consideration.,Surface high-risk behavior and investigation need.,Investigate scale/normalization or recursive-collapse behavior before contender treatment.,2026-06-14T10:32:59
NBEATS,challenger,deep_learning,deferred_runtime_impractical,False,True,False,TEST_LATER,DEFER,Deferred due to runtime impracticality for MVP/current environment.,Show as deferred_runtime_impractical future-work model.,Retest in stronger VM/container/GPU or optimized execution environment.,2026-06-14T10:32:59
NHITS,challenger,deep_learning,deferred_dependency_blocked,False,True,False,TEST_LATER,DEFER,Deferred due to Python 3.14 neuralforecast/ray dependency incompatibility.,Show as deferred_dependency_blocked future-work model.,Retest in Python 3.11/3.12 neuralforecast/ray-compatible environment.,2026-06-14T10:32:59
