"file","line","old_value","new_value","unit_named","derived_from","notes"
"V6/shiny_app/ui/tabs.R","~768 (acc_topn choices)","c(\"Top 10\" = 10, \"Top 20\" = 20, \"All (39)\" = 39)","c(\"Top 10 cases\" = 10, \"Top 20 cases\" = 20, \"All cases (596)\" = 596)","YES","acc_case_count() over v6_21b_accuracy_metrics.parquet at runtime","The 39 was hardcoded and silently wrong once the universe grew. The unit is now named: route x key cases."
"V6/shiny_app/ui/tabs.R","~685 comment","acc_series_choices() # 39 eligible series","acc_series_choices() # distinct entities","YES","Artifact","Comment corrected; the control filters distinct entities, not cases."
"V6/shiny_app/ui/tabs.R","~686 comment","acc_model_choices() # 13 family-ordered models","acc_model_choices() # family-ordered models","N/A","Artifact","The comment claimed 13; the artifact has 15. Count removed rather than re-hardcoded."
"V6/shiny_app/ui/tabs.R","~730 setup lead","Source: forecast_viewer_model_outputs.csv","Source: v6_21b_accuracy_metrics.parquet, over 596 route x key cases across 391 distinct entities","YES","acc_case_count() and acc_entity_count()","States the real source and both counts with their units."
"V6/shiny_app/ui/tabs.R","~772 hint","Heatmap keeps this many keys","Heatmap keeps this many route x key cases","YES","n/a","The hint said keys while the ranking unit is cases."
"V6/shiny_app/server/server.R","~285 and ~297","cell(\"Keys covered\", ...)","cell(\"Route x key cases covered\", ...)","YES","acc_summary() over the precomputed artifact","The card counts unique display keys, which are cases. The label now matches."
"UNIT_CONSISTENCY","n/a","Heatmap, table and summary cards each used an unnamed key unit","All three now rank the same unit: route x key cases","YES","acc_compute() returns the route-qualified case label as series_key","Verified live: 596 cases in the summary card, 596 selectable in All cases, heatmap rows and table rows both route-qualified."
"acc_horizon_choices()","helpers.R ~1118","5,10,15,20,25,30","UNCHANGED","n/a","F6","Preserved exactly. Reported finding: the artifact contains horizons 1 to 30, so 24 horizons exist that no selector exposes. Not normalised in this stage."
"ACC_METRICS","helpers.R ~1114","MAE, RMSE, sMAPE, wMAPE, Bias severity, Error variability","UNCHANGED","n/a","F6","Preserved exactly."
"acc_heatmap top_n default","helpers.R ~1256","20","UNCHANGED","n/a","n/a","Still 20; it is now 20 cases out of 596 rather than 20 of 39, so the default shows a much smaller share of the cohort."
"acc_standardize()","helpers.R ~1141","(x - median) / IQR with z-score and zero fallbacks","UNCHANGED","n/a","n/a","Reviewed, not changed. See the closure summary for the defensibility assessment under unequal n_points."
